"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x938828370397110272","x1441261902227664897",2021-09-24 04:43:09,"killerofplants","Shout out to the students in Central York School District who fought back against their school board's ban of books by &amp; about people of color. They protested everyday until they successfully got the book ban overturned this week. https://t.co/7EXlJDZ4Sw","Twitter for Android",140,,,,FALSE,TRUE,0,657,,,,,,,,,,,,,,,,"x781333062198124544","consciouskidlib","en",,,,,,,,,,,,,,,,"x1440844142116958222","Shout out to the students in Central York School District who fought back against their school board's ban of books by &amp; about people of color. They protested everyday until they successfully got the book ban overturned this week. https://t.co/7EXlJDZ4Sw",2021-09-23 01:03:07,"Twitter Web App",2714,657,"x781333062198124544","consciouskidlib","The Conscious Kid",32320,2523,9290,"Los Angeles, CA","https://t.co/o4XdqA0i8o",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1441261902227664897","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1440759125877538816",2021-09-22 19:25:18,"killerofplants","It’s definitely Fall around these parts &amp; it’s starting to get chilly at night. If you have hand warmers, socks (new or clean &amp; in good condition), hats, or other cold weather gear, please consider donating it to the pantry. Let’s make sure our neighbors stay warm this winter ❤️ https://t.co/gZOjaffPrN","Twitter for Android",144,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x1238900793983434753","AidSunnyland","en",,,,,,,,,,,,,,,,"x1440757132240965645","It’s definitely Fall around these parts &amp; it’s starting to get chilly at night. If you have hand warmers, socks (new or clean &amp; in good condition), hats, or other cold weather gear, please consider donating it to the pantry. Let’s make sure our neighbors stay warm this winter ❤️ https://t.co/gZOjaffPrN",2021-09-22 19:17:22,"Twitter for iPhone",1,1,"x1238900793983434753","AidSunnyland","Sunnyland Free Pantry (Bellingham)",393,132,615,"Bellingham, Washington","",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1440759125877538816","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1439248157913669633",2021-09-18 15:21:15,"killerofplants","""believe science"" https://t.co/9bDItjSUIg","Twitter for Android",34,,,,FALSE,TRUE,0,1151,,,,,,,,,,,,,,,,"x637196658","KateAronoff","en",,,,,,,,,,,,,,,,"x1439038201843302401","""believe science"" https://t.co/9bDItjSUIg",2021-09-18 01:26:58,"Twitter Web App",6600,1151,"x637196658","KateAronoff","Kate Aronoff",84228,1535,29949,"Brooklyn, NY / Providence, RI","Climate @NewRepublic & proudly @NYguild 📚 Overheated @BoldTypeBooks, A Planet To Win @VersoBooks, We Own The Future @thenewpress. Fellow @ClimateSSN",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1439248157913669633","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1437886384522481664",2021-09-14 21:10:03,"killerofplants","Refreshing! So is a subscription to ⁦@roanoke_rambler⁩. Sign up today for your 14-day free trial! https://t.co/IHmQB665g5 https://t.co/JY5Nsv9cn3","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x3251392491 x1404831857611575297","henrigendreau roanoke_rambler","en",,,,,,,,,,,,,,,,"x1437836169828524043","Refreshing! So is a subscription to ⁦@roanoke_rambler⁩. Sign up today for your 14-day free trial! https://t.co/IHmQB665g5 https://t.co/JY5Nsv9cn3",2021-09-14 17:50:31,"Twitter for iPhone",5,2,"x3251392491","henrigendreau","henri gendreau",739,0,1393,"Roanoke, VA","founding editor @roanoke_rambler | former @roanoketimes, @TimeslandGuild | reach out: editor@roanokerambler.com",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1437886384522481664","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1436710768804712450",2021-09-11 15:18:34,"killerofplants","@jkirk___ As an art teacher, I own 5 orange shirts sooooo...","Twitter for Android",50,"x1436656847075880971","x1024241258116653056","jkirk___",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1024241258116653056","jkirk___","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1436710768804712450","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1436519911686242315",2021-09-11 02:40:10,"killerofplants","Went apartment hunting yesterday with a 27-year-old desperate to find a home for her and her kids, after being unhoused for the last year. Each landlord charged a fee to apply. One required a $60 app fee AND a $150 admin fee, up front, both nonrefundable. The extortion is unreal.","Twitter for Android",140,,,,FALSE,TRUE,0,13288,,,,,,,,,,,,,,,,"x4309394652","brian_goldstone","en",,,,,,,,,,,,,,,,"x1436339218930937858","Went apartment hunting yesterday with a 27-year-old desperate to find a home for her and her kids, after being unhoused for the last year. Each landlord charged a fee to apply. One required a $60 app fee AND a $150 admin fee, up front, both nonrefundable. The extortion is unreal.",2021-09-10 14:42:10,"Twitter Web App",81656,13288,"x4309394652","brian_goldstone","Brian Goldstone",4234,671,2178,"Atlanta, GA","journalist and anthropologist. fellow @newamerica. author of THE NEW AMERICAN HOMELESS, forthcoming from Crown.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1436519911686242315","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1435842079205171207",2021-09-09 05:46:42,"killerofplants","Why shouldn’t every public school teacher be vaccinated before they can enter a classroom?","Twitter for Android",103,,,,FALSE,TRUE,0,2009,,,,,,,,,,,,,,,,"x148529707","RBReich","en",,,,,,,,,,,,,,,,"x1435641779647250432","Why shouldn’t every public school teacher be vaccinated before they can enter a classroom?",2021-09-08 16:30:47,"Twitter for iPhone",18219,2009,"x148529707","RBReich","Robert Reich",1398701,533,20789,"Berkeley, CA","Berkeley professor, former Secretary of Labor. Co-founder, 
@InequalityMedia. Sign up for my newsletter: https://t.co/U9YAAOuQvg",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1435842079205171207","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1435839786615382016",2021-09-09 05:37:36,"killerofplants","States cannot comment on whether students and teachers will be alive at the end of the year due to COVID in their buildings, but they can guarantee that, regardless, there will be standardized testing.","Twitter for Android",140,,,,FALSE,TRUE,0,207,,,,,,,,,,,,,,,,"x924986499485126656","heymrsbond","en",,,,,,,,,,,,,,,,"x1435737958011781121","States cannot comment on whether students and teachers will be alive at the end of the year due to COVID in their buildings, but they can guarantee that, regardless, there will be standardized testing.",2021-09-08 22:52:58,"Twitter for iPhone",1118,207,"x924986499485126656","heymrsbond","Chanea (shuh-Nay)",14665,4184,26545,"Texas 🙄","teacher-scholar • ALL Black Lives Matter • all views and typos here belong to me • she/her(s) 🏳️‍🌈",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1435839786615382016","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1435074345068494854",2021-09-07 02:56:00,"killerofplants","Labor Day is probably the most American holiday because it was meant to be a workers holiday and now the only people who don’t get it off are working class people so they can serve all the yuppies who actually get a day off","Twitter for Android",140,,,,FALSE,TRUE,0,10239,,,,,,,,,,,,,,,,"x1389790388853035008","TommyDeLaVoid","en",,,,,,,,,,,,,,,,"x1434903458231029760","Labor Day is probably the most American holiday because it was meant to be a workers holiday and now the only people who don’t get it off are working class people so they can serve all the yuppies who actually get a day off",2021-09-06 15:36:58,"Twitter for iPhone",65483,10239,"x1389790388853035008","TommyDeLaVoid","Comrade Cowboy",41,212,532,"","I’m my own reply guy",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1435074345068494854","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
"x938828370397110272","x1435058546886930434",2021-09-07 01:53:14,"killerofplants","The fact that 11 million people are losing their federal unemployment benefits or seeing their benefits reduced today, on ""Labor Day,"" should tell you all you need to know about how much the US government values workers.","Twitter for Android",140,,,,FALSE,TRUE,0,6580,,,,,,,,,,,,,,,,"x1093264681","kksteffany","en",,,,,,,,,,,,,,,,"x1434790429845868545","The fact that 11 million people are losing their federal unemployment benefits or seeing their benefits reduced today, on ""Labor Day,"" should tell you all you need to know about how much the US government values workers.",2021-09-06 08:07:50,"Twitter Web App",37543,6580,"x1093264681","kksteffany","kristian steffany🌹",8864,1815,51483,"Texas, USA","Some days we run off fumes & anger; other days we thrive in passion & purpose. Be the flower & the storm. National Political Committee @demsocialists she/ella",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/killerofplants/status/1435058546886930434","Ali Holmes","Bellingham, WA","Art Teacher. she/her",,FALSE,21,146,0,411,6157,2017-12-07 17:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/938828370397110272/1577514754",,"http://pbs.twimg.com/profile_images/1293734009642475521/sZaZvl09_normal.jpg"
