"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x267874610","x1367563313756872712",2021-03-04 19:51:16,"Desmos","@dvdndrssn Unfortunately, yes. Hope to see you on the recording tomorrow!","TweetDeck",62,"x1367556765940875264","x432030968","dvdndrssn",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x432030968","dvdndrssn","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367563313756872712","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367554650803560448",2021-03-04 19:16:51,"Desmos","See you folks at #DesmosLive 4PM Pacific today! https://t.co/xpaCXaV8WV  https://t.co/ayJ8Ao0mbU","Tweetbot for iΟS",96,,,,TRUE,FALSE,8,1,,,"DesmosLive",,"youtube.com/watch?v=7vIC-e… twitter.com/STEMGregNYC/st…","https://t.co/xpaCXaV8WV https://t.co/ayJ8Ao0mbU","https://www.youtube.com/watch?v=7vIC-ehqkWU&feature=youtu.be https://twitter.com/STEMGregNYC/status/1367539941404794880",,,,,,,,,,,"en","x1367539941404794880","So excited to become a @Desmos super fan! Ugh! Why did I wait so long?!?! Watching students play with dilations was fascinating! You can see the thinking as they manipulated. 

Who will be #DesmosLive tonight? 
This guy!

#iteachmath https://t.co/S0BPV6ALu4",2021-03-04 18:18:24,"Twitter Web App",4,0,"x1126179179739910145","STEMGregNYC","G. Heath",135,360,262,"Brooklyn, NY","NYC Math & STEM Educator. School Garden Enthusiast. Film Snob. Comic Book Aficionado. Spicy Food Lover. Hip Hop & Electronic Music Listener. Avid Karaoke Singer",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367554650803560448","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367539888665497603",2021-03-04 18:18:11,"Desmos","I did this with some HS students last year and it was great! https://t.co/opaSWNKjye","Tweetbot for iΟS",101,,,,FALSE,TRUE,0,2,,,,,"twitter.com/Desmos/status/…","https://t.co/opaSWNKjye","https://twitter.com/Desmos/status/1367535908640206849",,,,,,,,,"x1293433808","Mr_Oldfield","en",,,,,,,,,,,,,,,,"x1367537902758940672","I did this with some HS students last year and it was great! https://t.co/opaSWNKjye",2021-03-04 18:10:18,"Twitter Web App",5,2,"x1293433808","Mr_Oldfield","Derek Oldfield",3634,3943,27898,"Martinsburg, WV","Christian, Husband & Father, #InTheRough, Google Certified, #KidsDeserveIt #TLAP Supporting & Inspiring Teachers as Instruc Tech Coord Berkeley Co Schools",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367539888665497603","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367536659038793730",2021-03-04 18:05:21,"Desmos","Thank you @Desmos for the amazing new upload picture option! My teachers are LOVING it.  I keep getting messages of how easy it is to use.  @Desmos once again making the user experience on their site even better! https://t.co/7WgcNYoUOY","Tweetbot for iΟS",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x120863243 x267874610","jenndonais Desmos","en",,,,,,,,,,,,,,,,"x1367490878479216650","Thank you @Desmos for the amazing new upload picture option! My teachers are LOVING it.  I keep getting messages of how easy it is to use.  @Desmos once again making the user experience on their site even better! https://t.co/7WgcNYoUOY",2021-03-04 15:03:26,"Twitter Web App",10,3,"x120863243","jenndonais","Jenn Donais",1505,1546,679,"Amesbury, MA","Math Coach | #PAEMST 2016 | @GoogleForEdu Certified Coach #GoogleEC  | Flipgrid Certified #GridGuide | DLCS Ambassador | ST Math Champion | Global STEM Trainer|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367536659038793730","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367536424157782020",2021-03-04 18:04:25,"Desmos","@Wronskizzian No hard limit but performance, especially on the dashboard, will lag for some activities. 100 should be good.","Tweetbot for iΟS",109,"x1367514769087987724","x30808108","Wronskizzian",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x30808108","Wronskizzian","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367536424157782020","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367536017683611649",2021-03-04 18:02:48,"Desmos","@kenyahearme I’m afraid that isn’t possible.","Tweetbot for iΟS",31,"x1367530916621520901","x3092558739","kenyahearme",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x3092558739","kenyahearme","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367536017683611649","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367535908640206849",2021-03-04 18:02:22,"Desmos","⛳ Help your students understand dilations using this free Mini Golf activity from the Desmos Math Curriculum. Check it out! https://t.co/FmphCQmcWC https://t.co/6puTiZkxPM","Loomly",147,,,,FALSE,FALSE,19,5,,,,,"loom.ly/-01BqmE","https://t.co/FmphCQmcWC","https://loom.ly/-01BqmE","http://pbs.twimg.com/ext_tw_video_thumb/1367535874511155201/pu/img/nJ4UnSulVQJFymIf.jpg","https://t.co/6puTiZkxPM","https://twitter.com/Desmos/status/1367535908640206849/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1367535874511155201/pu/img/nJ4UnSulVQJFymIf.jpg","https://t.co/6puTiZkxPM","https://twitter.com/Desmos/status/1367535908640206849/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367535908640206849","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367495463797223433",2021-03-04 15:21:40,"Desmos","@SeanMaths4EAL Great suggestion!","TweetDeck",17,"x1367377094783557632","x1071157827727572992","SeanMaths4EAL",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x1071157827727572992","SeanMaths4EAL","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367495463797223433","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367267762930814976",2021-03-04 00:16:51,"Desmos","@Varn234 Happy to hear it! You can sort students by name by clicking the sort option above the list of names. Some teachers have their students change their names to last, first in the account menu for easier sorting.","TweetDeck",208,"x1367267132967448578","x4043203456","Varn234",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x4043203456","Varn234","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367267762930814976","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
"x267874610","x1367238004457099264",2021-03-03 22:18:36,"Desmos","@NeWitt88 @mrchowmath @Trianglemancsd Extremely fun idea. No immediate plans currently, but some good internal discussion.","TweetDeck",84,"x1367235920500506626","x1300991016003145731","NeWitt88",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1300991016003145731 x869252905940918272 x94373538","NeWitt88 mrchowmath Trianglemancsd","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Desmos/status/1367238004457099264","Desmos.com","San Francisco, CA","Explore math with our free online graphing calculator and networked classroom activities!","https://t.co/5FdaBOA0xk",FALSE,49032,1220,667,20325,9957,2011-03-17 18:19:59,TRUE,"https://t.co/5FdaBOA0xk","http://www.desmos.com",,"https://pbs.twimg.com/profile_banners/267874610/1593047826","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000406479116/2d573bdce0ef68c7336007aaa88202f5_normal.png"
