"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x4312362995","x1322235204195520513",2020-10-30 17:53:33,"FieldsMathEd","Really good coffee like they have at the @FieldsMathEd forums. When they weren't virtual. https://t.co/dJJ8ND9Onx","Twitter Web App",126,,,,FALSE,TRUE,0,1,,,,,"twitter.com/mathillustrate…","https://t.co/dJJ8ND9Onx","https://twitter.com/mathillustrated/status/1320528353657561088",,,,,,,,,"x36917863 x4312362995","IainBro FieldsMathEd","en",,,,,,,,,,,,,,,,"x1320530343833849857","Really good coffee like they have at the @FieldsMathEd forums. When they weren't virtual. https://t.co/dJJ8ND9Onx",2020-10-26 00:59:02,"Twitter Web App",2,1,"x36917863","IainBro","Iain Brodie",377,346,3391,"Toronto area","Retired from @tdsb. Now teaching people to be teachers @OT_FED. Hopefully inspiring activist teachers of the future. Tweets are my own.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1322235204195520513","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1322235182737403904",2020-10-30 17:53:28,"FieldsMathEd","@FieldsMathEd will be discussing the changing world of assessments on Saturday. https://t.co/eVYZXKNfts https://t.co/rfb3BQkhJ8","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,,,"fields.utoronto.ca/activities/20-…","https://t.co/eVYZXKNfts","http://www.fields.utoronto.ca/activities/20-21/meforum-Oct",,,,,,,,,"x1142609880 x4312362995","judy11235813 FieldsMathEd","en",,,,,,,,,,,,,,,,"x1321300007786586118","@FieldsMathEd will be discussing the changing world of assessments on Saturday. https://t.co/eVYZXKNfts https://t.co/rfb3BQkhJ8",2020-10-28 03:57:25,"Twitter for Android",1,1,"x1142609880","judy11235813","Judy",114,40,889,"","",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1322235182737403904","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1320400121734041603",2020-10-25 16:21:35,"FieldsMathEd","@OAMElearns and @afemo_on_ca are running at full speed! Webinars recordings, slide decks, and companion resources on Curriculum Context for the revised elementary math curriculum are all available at our project website https://t.co/Nh6YwlwxB2","TweetDeck",243,,"x987334537238667264","OAMElearns",FALSE,FALSE,2,1,,,,,"OntarioMath.support","https://t.co/Nh6YwlwxB2","http://OntarioMath.support",,,,,,,,,"x987334537238667264 x262491105","OAMElearns afemo_on_ca","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1320400121734041603","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1320395465498779650",2020-10-25 16:03:05,"FieldsMathEd","My awesome colleague @TepyloTeaches will be presenting at the Fields Institute on Oct 31st. Teaching and Learning Mathematics Remotely. https://t.co/nmPhjwcuwu. @OT_FED @FieldsMathEd","Twitter Web App",139,,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,,,"x36917863 x351817682","IainBro TepyloTeaches","en",,,,,,,,,,,,,,,,"x1319772481071292416","My awesome colleague @TepyloTeaches will be presenting at the Fields Institute on Oct 31st. Teaching and Learning Mathematics Remotely. https://t.co/nmPhjwcuwu. @OT_FED @FieldsMathEd",2020-10-23 22:47:34,"Twitter Web App",6,4,"x36917863","IainBro","Iain Brodie",377,346,3391,"Toronto area","Retired from @tdsb. Now teaching people to be teachers @OT_FED. Hopefully inspiring activist teachers of the future. Tweets are my own.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1320395465498779650","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1318585517835841536",2020-10-20 16:11:00,"FieldsMathEd","CMESG: CMESG will head the panel to open the CMS meeting in Montreal in December (details TBA in October); as well, there will be some working groups like the last virtual meeting.","TweetDeck",180,,,,FALSE,FALSE,2,1,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1318585517835841536","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1317180761603297281",2020-10-16 19:09:00,"FieldsMathEd","Next week's @OMCAmath meeting (Oct 19, 12 to 3) hosts Dr. Chris Suurtamm presenting about the characteristics of sound professional learning and how we can use these as we support our educators in the implementation of the 2020 Math curriculum.","TweetDeck",244,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x2767313452","OMCAmath","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1317180761603297281","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1317135715038162953",2020-10-16 16:10:00,"FieldsMathEd","CMS: Winter online meeting is taking place 3-8 December 2020. 

https://t.co/0zln99nQxc

There will be two education sessions ""Let’s bring kindergarten to first-year math"" (Burazin and Taylor) and ""Creative Assessments in the COVID-19 times"" (Burazin, Jungic and  Lovric)","TweetDeck",271,,,,FALSE,FALSE,0,0,,,,,"winter20.cms.math.ca","https://t.co/0zln99nQxc","https://winter20.cms.math.ca/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1317135715038162953","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1316409429449945094",2020-10-14 16:04:00,"FieldsMathEd","OCMA Virtual Symposium (October 27 - 29, 2020), ways to help build algebra and numeracy skills; incorporate OERs and new learning frameworks in online environments; expand your math teaching footprint in new vocational and cultural directions

https://t.co/RQw4VbuTJG","TweetDeck",267,,,,FALSE,FALSE,0,0,,,,,"theocma.us13.list-manage.com/track/click?u=…","https://t.co/RQw4VbuTJG","https://theocma.us13.list-manage.com/track/click?u=18496f202f4698b0b735d6c70&id=9ab73d1b6e&e=005b480c87",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1316409429449945094","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1315785994130591744",2020-10-12 22:46:41,"FieldsMathEd","Join us on Saturday October 31st as we debrief on *Teaching and Learning Mathematics Remotely*. 

@OAMElearns
 #OnEd

Talks start at 10am.
Pre-registration is required here: 
https://t.co/1LmcL5ujic https://t.co/mzdZAAAa3Q","Twitter Web App",198,,,,FALSE,FALSE,2,1,,,"OnEd",,"zoom.us/meeting/regist…","https://t.co/1LmcL5ujic","https://zoom.us/meeting/register/tJApdO2pqTgjEtT5yABLEYTnWxN5jl1gf59i","http://pbs.twimg.com/media/EkKcW58XYAApAqF.jpg","https://t.co/mzdZAAAa3Q","https://twitter.com/FieldsMathEd/status/1315785994130591744/photo/1","photo","http://pbs.twimg.com/media/EkKcW58XYAApAqF.jpg","https://t.co/mzdZAAAa3Q","https://twitter.com/FieldsMathEd/status/1315785994130591744/photo/1",,"x987334537238667264","OAMElearns","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1315785994130591744","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
"x4312362995","x1312491687940222978",2020-10-03 20:36:17,"FieldsMathEd","#RemoteMathEd

On Saturday October 31st, the Fields MathEd Forum will be gathering to discuss strategies that work and strategies that don't work when teaching/learning math remotely.

Register today:
https://t.co/1LmcL5LU9K","Twitter Web App",224,,,,FALSE,FALSE,5,4,,,"RemoteMathEd",,"zoom.us/meeting/regist…","https://t.co/1LmcL5LU9K","https://zoom.us/meeting/register/tJApdO2pqTgjEtT5yABLEYTnWxN5jl1gf59i",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FieldsMathEd/status/1312491687940222978","FieldsMathEd","Toronto, Ontario","We are the mathematics education forum from the Fields Institute","https://t.co/mioNyevGx7",FALSE,945,614,20,737,810,2015-11-29 00:13:09,FALSE,"https://t.co/mioNyevGx7","http://www.fields.utoronto.ca/programs/mathed/forum/index.html",,"https://pbs.twimg.com/profile_banners/4312362995/1451856217","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/683760471065915392/mrUJXSlg_normal.jpg"
