"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x930930856025313281","x1320816065597890562",2020-10-26 19:54:24,"cubes_art","@CaptMarkKelly 0:35 #hoagiehomies","Twitter Web App",18,"x1320792841396711424","x65707359","CaptMarkKelly",FALSE,FALSE,0,0,,,"hoagiehomies",,,,,,,,,,,,,"x65707359","CaptMarkKelly","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cubes_art/status/1320816065597890562","Cubes_Art - 😷","Georgia, USA","Hi. I’m Dave. I make patterns on Rubik’s cubes. I use a lot of conjugates and commutators Atlanta ⬅️🚘➡️ Athens, GA","https://t.co/YlYCeYB8qV",FALSE,440,720,3,1479,9572,2017-11-15 22:49:46,FALSE,"https://t.co/YlYCeYB8qV","https://www.instagram.com/cubes_art/",,"https://pbs.twimg.com/profile_banners/930930856025313281/1569684493",,"http://pbs.twimg.com/profile_images/1283766481453547521/i6HxJClp_normal.jpg"
"x19429170","x1320389604281884675",2020-10-25 15:39:47,"miclugo","Apparently pie is a sandwich? #hoagiehomies https://t.co/a5aaqs93Aj","Twitter for iPhone",43,,,,TRUE,FALSE,0,0,,,"hoagiehomies",,"twitter.com/DLind/status/1…","https://t.co/a5aaqs93Aj","https://twitter.com/DLind/status/1319399679805804544",,,,,,,,,,,"en","x1319399679805804544","Going through my camera roll looking for something and I decided it has been too long since I have made my Twitter followers read the best op-ed of all time: “Why Don’t We, The Jews, Eat Pie?” https://t.co/Gc02Qe8NbZ",2020-10-22 22:06:11,"Twitter for iPhone",657,108,"x14471411","DLind","Dara Lind",73991,2928,65700,"Washington, DC","Immigration reporter @propublica. Podcasting with @voxdotcom #TheWeeds. Have a tip? DM me for WhatsApp or Signal #. (DMs wiped regularly.)",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/miclugo/status/1320389604281884675","Michael Lugo","Atlanta","northerner in exile, data scientist, reads too much, lover of cats, parent of world's cutest chaos muppet","https://t.co/MENZM1Kqr7",FALSE,653,851,37,28626,10395,2009-01-24 02:54:05,FALSE,"https://t.co/MENZM1Kqr7","http://michaellugo.com",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/2883844303/b270747d42075289633af3f2a9490cbb_normal.jpeg"
"x13015022","x1320387557125984257",2020-10-25 15:31:39,"virtualcourtney","Working in the car while trouble cat Sophie's being checked out (distraction is my primary coping mechanism). A student in my computational algebra class wrote to me about his Lasagna Theorems. A future #HoagieHomies inductee? https://t.co/7sHB62zUmg","Twitter Web App",226,,,,FALSE,FALSE,14,0,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/ElL1czNW0AAO6G2.png","https://t.co/7sHB62zUmg","https://twitter.com/virtualcourtney/status/1320387557125984257/photo/1","photo","http://pbs.twimg.com/media/ElL1czNW0AAO6G2.png","https://t.co/7sHB62zUmg","https://twitter.com/virtualcourtney/status/1320387557125984257/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/virtualcourtney/status/1320387557125984257","Dr. Courtney Gibbons","Clinton, NY","Three degrees of mathematician (comm alg). Prof at Hamilton College; tldr: cats. she/her

#BlackLivesMatter \\ Header: ""Math For All""","https://t.co/rMxAnsE9i8",FALSE,2236,1610,76,15114,27522,2008-02-03 17:45:35,FALSE,"https://t.co/rMxAnsE9i8","http://crgibbons.github.io",,"https://pbs.twimg.com/profile_banners/13015022/1585234748","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/872994695743324160/0mjy79iW_normal.jpg"
"x2724619687","x1318536404566147072",2020-10-20 12:55:50,"HumanFox030","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW","Twitter for iPhone",108,,,,FALSE,TRUE,0,131,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1","photo","http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1",,"x22891502","sbagley","en",,,,,,,,,,,,,,,,"x1317883605134176256","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW",2020-10-18 17:41:51,"Twitter Web App",631,131,"x22891502","sbagley","Spencer Bagley 🏠🎃🏳️‍🌈",1095,333,34852,"Salt Lake City, UT","Westminster College | MAA Project NExT | OUTinSTEM | Math, believing women, politics, sports, knitting. Black lives matter. He/him.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HumanFox030/status/1318536404566147072","cheems 🎃🍁","Yea him","alex/cheems • he/they • art things sometimes • ENG/RUS/LT • @maatchasticks is the geef",,FALSE,1572,2561,51,195253,217932,2014-08-11 20:18:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/2724619687/1603371199","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1319261479292502017/XX1fO5hb_normal.jpg"
"x999422376919027713","x1318419199719596033",2020-10-20 05:10:06,"lindsaypsy","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW","Twitter for iPhone",108,,,,FALSE,TRUE,0,131,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1","photo","http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1",,"x22891502","sbagley","en",,,,,,,,,,,,,,,,"x1317883605134176256","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW",2020-10-18 17:41:51,"Twitter Web App",631,131,"x22891502","sbagley","Spencer Bagley 🏠🎃🏳️‍🌈",1095,333,34852,"Salt Lake City, UT","Westminster College | MAA Project NExT | OUTinSTEM | Math, believing women, politics, sports, knitting. Black lives matter. He/him.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lindsaypsy/status/1318419199719596033","Lindsayli","Glasgow, Scotland","",,FALSE,20,348,0,25,120,2018-05-23 22:50:37,FALSE,,,,"https://pbs.twimg.com/profile_banners/999422376919027713/1557818307",,"http://pbs.twimg.com/profile_images/1286137373349294085/OaiPCIii_normal.jpg"
"x3007407272","x1318372882561568768",2020-10-20 02:06:04,"pianotm26","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW","Twitter for Android",108,,,,FALSE,TRUE,0,131,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1","photo","http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1",,"x22891502","sbagley","en",,,,,,,,,,,,,,,,"x1317883605134176256","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW",2020-10-18 17:41:51,"Twitter Web App",631,131,"x22891502","sbagley","Spencer Bagley 🏠🎃🏳️‍🌈",1095,333,34852,"Salt Lake City, UT","Westminster College | MAA Project NExT | OUTinSTEM | Math, believing women, politics, sports, knitting. Black lives matter. He/him.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pianotm26/status/1318372882561568768","Thomas Myers","St Louis, MO","#gamedev, and #musician. #alitaarmy Making Across the Universe, a sci-fi resource management game and survival game! @Itsasooz @rpgmaker @unity3d @itchio","https://t.co/xtcpc1dxQM",FALSE,3466,5002,143,68000,63431,2015-02-02 02:12:22,FALSE,"https://t.co/xtcpc1dxQM","https://pianotm.itch.io/across-the-universe",,"https://pbs.twimg.com/profile_banners/3007407272/1548105032","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1169911384143851520/Wes47Sn__normal.jpg"
"x3063540037","x1318346323775676416",2020-10-20 00:20:31,"bochkovision","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW","Twitter Web App",108,,,,FALSE,TRUE,0,131,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1","photo","http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1",,"x22891502","sbagley","en",,,,,,,,,,,,,,,,"x1317883605134176256","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW",2020-10-18 17:41:51,"Twitter Web App",631,131,"x22891502","sbagley","Spencer Bagley 🏠🎃🏳️‍🌈",1095,333,34852,"Salt Lake City, UT","Westminster College | MAA Project NExT | OUTinSTEM | Math, believing women, politics, sports, knitting. Black lives matter. He/him.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bochkovision/status/1318346323775676416","Ivan Bochkov","Houston, TX, USA","",,FALSE,35,155,2,940,926,2015-03-05 20:48:33,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/573587498292502528/1dkrd3Sj_normal.jpeg"
"x18655267","x1318324965930749953",2020-10-19 22:55:39,"jeantessier","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW","Twitter for Android",108,,,,FALSE,TRUE,0,131,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1","photo","http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1",,"x22891502","sbagley","en",,,,,,,,,,,,,,,,"x1317883605134176256","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW",2020-10-18 17:41:51,"Twitter Web App",631,131,"x22891502","sbagley","Spencer Bagley 🏠🎃🏳️‍🌈",1095,333,34852,"Salt Lake City, UT","Westminster College | MAA Project NExT | OUTinSTEM | Math, believing women, politics, sports, knitting. Black lives matter. He/him.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jeantessier/status/1318324965930749953","JΞΛΝ ΤΞSSΙΞR","California","Software Craftsman at Directly.  Also worked at Google, LinkedIn.","http://t.co/qC2Df2a0AY",FALSE,216,102,28,1323,145,2009-01-06 01:18:04,FALSE,"http://t.co/qC2Df2a0AY","http://jeantessier.com",,"https://pbs.twimg.com/profile_banners/18655267/1364232480","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/69768047/JeanHat_normal.jpg"
"x19685572","x1318312335380008960",2020-10-19 22:05:28,"LoveStats","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW","Twitter for iPad",108,,,,FALSE,TRUE,0,131,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1","photo","http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1",,"x22891502","sbagley","en",,,,,,,,,,,,,,,,"x1317883605134176256","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW",2020-10-18 17:41:51,"Twitter Web App",631,131,"x22891502","sbagley","Spencer Bagley 🏠🎃🏳️‍🌈",1095,333,34852,"Salt Lake City, UT","Westminster College | MAA Project NExT | OUTinSTEM | Math, believing women, politics, sports, knitting. Black lives matter. He/him.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LoveStats/status/1318312335380008960","Dr. Annie 🖤 Wear a mask. Be kind.","Oooh... Research books to buy!","PhD CAIP FCRIC | #MRX #Standards #Ethics #Equity | Freelancer writer | Canadian Chair ISO/TC225 | Sugar, Ukulele | #PeopleArentRobots | She/They","https://t.co/p9Q4DLiovC",FALSE,14967,4186,1023,28486,369,2009-01-29 00:05:58,TRUE,"https://t.co/p9Q4DLiovC","https://www.amazon.ca/s?i=stripbooks&rh=p_27%3AF.+Annie+Pettit+PhD",,"https://pbs.twimg.com/profile_banners/19685572/1601850205","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1277367806040977408/euB9QEvS_normal.jpg"
"x1166323527492022274","x1318275454403489792",2020-10-19 19:38:55,"LSharman3","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW","Twitter for Android",108,,,,FALSE,TRUE,0,131,,,"HoagieHomies",,,,,"http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1","photo","http://pbs.twimg.com/media/EkoQHW-UcAEzNk5.jpg","https://t.co/nZHJGNqKVW","https://twitter.com/sbagley/status/1317883605134176256/photo/1",,"x22891502","sbagley","en",,,,,,,,,,,,,,,,"x1317883605134176256","#HoagieHomies This is clearly a sandwich; the real question is how many https://t.co/nZHJGNqKVW",2020-10-18 17:41:51,"Twitter Web App",631,131,"x22891502","sbagley","Spencer Bagley 🏠🎃🏳️‍🌈",1095,333,34852,"Salt Lake City, UT","Westminster College | MAA Project NExT | OUTinSTEM | Math, believing women, politics, sports, knitting. Black lives matter. He/him.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LSharman3/status/1318275454403489792","L.Sharman","","",,FALSE,10,49,0,43,80,2019-08-27 12:16:49,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
