"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x192343055","x1320058377364361216",2020-10-24 17:43:37,"SMTSca","A couple more live PD coming up this week on Tuesday: Unpacking geometry, Data and Number Routines and Thursday: Using Google Classroom in Elementary Mathematics with facilitator @Chadillac60 Register at: https://t.co/Zjng9i7pYH","Twitter Web App",228,,,,FALSE,FALSE,0,0,,,,,"smts.ca/pd-registratio…","https://t.co/Zjng9i7pYH","http://www.smts.ca/pd-registration/",,,,,,,,,"x490578906","Chadillac60","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1320058377364361216","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1319650240316596225",2020-10-23 14:41:49,"SMTSca","#teamsask https://t.co/md4sqRO5LF","Twitter Web App",9,,,,TRUE,FALSE,0,0,,,"teamsask",,"twitter.com/Chadillac60/st…","https://t.co/md4sqRO5LF","https://twitter.com/Chadillac60/status/1319650031192870912",,,,,,,,,,,"und","x1319650031192870912","Excited to spend some time with AB teachers this afternoon at #mcata20 looking at ways to engage all learners and promote flexible thinking in elementary mathematics. @MCATA_Tweets",2020-10-23 14:41:00,"Twitter Web App",5,0,"x490578906","Chadillac60","Chad Williams",495,805,1624,"Saskatoon, Saskatchewan ","Elementary School teacher, mathematics enthusiast and President of the @smtsca. Creator of the math game @representgame. He/Him",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1319650240316596225","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1319650186285596673",2020-10-23 14:41:36,"SMTSca","#teamsask https://t.co/kMvp9CVFSZ","Twitter Web App",9,,,,TRUE,FALSE,0,0,,,"teamsask",,"twitter.com/NatBanting/sta…","https://t.co/kMvp9CVFSZ","https://twitter.com/NatBanting/status/1319632274195841029",,,,,,,,,,,"und","x1319632274195841029","Ready to bring the kind folks at @BCAMT a reminder of what they're missing in Sask.

(Oh, and also we are going to talk math ed)

#BCAMT2020 &lt;--Is there an official hashtag?",2020-10-23 13:30:26,"Twitter Web App",10,1,"x206843292","NatBanting","Nat Banting",6263,527,29464,"Saskatoon, SK","MathEd (teaching, writing, speaking); @usaskEducation sessional; @FractionTalks curator; Co-editor: The Variable (@SMTSca); #MenuMath #FreeScalene. Wear a mask.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1319650186285596673","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1318750323700191233",2020-10-21 03:05:53,"SMTSca","Great opportunity for #sask teachers and the one we alluded to in this evening PD session on Unpacking Mult, Div &amp; Fractions. https://t.co/OnJKTWJDAk","Twitter for iPhone",129,,,,TRUE,FALSE,2,0,,,"sask",,"twitter.com/NatBanting/sta…","https://t.co/OnJKTWJDAk","https://twitter.com/NatBanting/status/1318202021158166528",,,,,,,,,,,"en","x1318202021158166528","Happy Monday #sask math teachers!

If you or someone you know teaches grades 4-8, consider joining in a joyful math experience with other classes across the province. (And learn something fact fluency too!)

Details: https://t.co/9u7kVRV1Pj 
#saskedchat",2020-10-19 14:47:07,"Twitter for iPhone",3,2,"x206843292","NatBanting","Nat Banting",6263,527,29464,"Saskatoon, SK","MathEd (teaching, writing, speaking); @usaskEducation sessional; @FractionTalks curator; Co-editor: The Variable (@SMTSca); #MenuMath #FreeScalene. Wear a mask.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1318750323700191233","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1317504411573219328",2020-10-17 16:35:04,"SMTSca","You have asked and we have listened. We will be doing a repeat session of Using Google Classroom in Elementary Mathematics on Oct 29th at 7pm. Head to https://t.co/Zjng9i7pYH to register. @Chadillac60 https://t.co/jVBC7AMaVZ","Twitter for iPhone",200,,,,FALSE,FALSE,7,7,,,,,"smts.ca/pd-registratio…","https://t.co/Zjng9i7pYH","http://www.smts.ca/pd-registration/","http://pbs.twimg.com/media/Eki3R0zU8AEVSFF.jpg","https://t.co/jVBC7AMaVZ","https://twitter.com/SMTSca/status/1317504411573219328/photo/1","photo","http://pbs.twimg.com/media/Eki3R0zU8AEVSFF.jpg","https://t.co/jVBC7AMaVZ","https://twitter.com/SMTSca/status/1317504411573219328/photo/1",,"x490578906","Chadillac60","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1317504411573219328","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1317260912521220097",2020-10-17 00:27:29,"SMTSca","Hey #saskedchat!

I've been working on a way to bring classrooms (~Gr. 4-8) together over a joyful math experience.

Read about it here:
https://t.co/fLrdjJcXVi

Help spread the word?
cc. @mcqmath @KirstDy @saskedchat @LoriMeyerMseJaw @PrincipalMrW @ShayneMcMillen @morriskate","Twitter for iPhone",140,,,,FALSE,TRUE,0,17,,,"saskedchat",,,,,,,,,,,,,"x206843292","NatBanting","en",,,,,,,,,,,,,,,,"x1317258590709673984","Hey #saskedchat!

I've been working on a way to bring classrooms (~Gr. 4-8) together over a joyful math experience.

Read about it here:
https://t.co/fLrdjJcXVi

Help spread the word?
cc. @mcqmath @KirstDy @saskedchat @LoriMeyerMseJaw @PrincipalMrW @ShayneMcMillen @morriskate",2020-10-17 00:18:16,"Twitter Web App",27,17,"x206843292","NatBanting","Nat Banting",6263,527,29464,"Saskatoon, SK","MathEd (teaching, writing, speaking); @usaskEducation sessional; @FractionTalks curator; Co-editor: The Variable (@SMTSca); #MenuMath #FreeScalene. Wear a mask.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1317260912521220097","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1317109509853044743",2020-10-16 14:25:52,"SMTSca","And done! But too excited to head to bed... Another great session working with teachers on engaging students in mathematics through Google platforms. 7-8:30pm session stretched to 10:30pm with teachers talking math❤️❤️❤️❤️❤️❤️@SMTSca https://t.co/rKBY8HnUiP","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x490578906","Chadillac60","en",,,,,,,,,,,,,,,,"x1316962151702155264","And done! But too excited to head to bed... Another great session working with teachers on engaging students in mathematics through Google platforms. 7-8:30pm session stretched to 10:30pm with teachers talking math❤️❤️❤️❤️❤️❤️@SMTSca https://t.co/rKBY8HnUiP",2020-10-16 04:40:19,"Twitter for iPhone",1,1,"x490578906","Chadillac60","Chad Williams",495,805,1624,"Saskatoon, Saskatchewan ","Elementary School teacher, mathematics enthusiast and President of the @smtsca. Creator of the math game @representgame. He/Him",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1317109509853044743","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1316178563591094272",2020-10-14 00:46:37,"SMTSca","Unpacking Counting Principles, addition and Subtraction starting up shortly. Excited to spend another evening with @SMTSca members. #iteachmath https://t.co/Q3uLepF7zS","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x490578906 x192343055","Chadillac60 SMTSca","en",,,,,,,,,,,,,,,,"x1316177921959063552","Unpacking Counting Principles, addition and Subtraction starting up shortly. Excited to spend another evening with @SMTSca members. #iteachmath https://t.co/Q3uLepF7zS",2020-10-14 00:44:04,"Twitter for iPhone",6,2,"x490578906","Chadillac60","Chad Williams",495,805,1624,"Saskatoon, Saskatchewan ","Elementary School teacher, mathematics enthusiast and President of the @smtsca. Creator of the math game @representgame. He/Him",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1316178563591094272","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1314938254609674240",2020-10-10 14:38:04,"SMTSca","@Chadillac60 will unpack counting principles, addition and subtraction on Tues Oct 13 at 7pm. Free for SMTS members, sign up online at https://t.co/Zjng9i7pYH https://t.co/D6RcWhcktV","Twitter for iPhone",158,,"x490578906","Chadillac60",TRUE,FALSE,0,0,,,,,"smts.ca/pd-registratio… twitter.com/Chadillac60/st…","https://t.co/Zjng9i7pYH https://t.co/D6RcWhcktV","http://www.smts.ca/pd-registration/ https://twitter.com/Chadillac60/status/1314934347783311361",,,,,,,,,"x490578906","Chadillac60","en","x1314934347783311361","Working on showing our strategies using linking cubes in grade 2 and writing them out like mathematicians. #iteachmath https://t.co/cnNvHZ17ls",2020-10-10 14:22:33,"Twitter for iPhone",11,4,"x490578906","Chadillac60","Chad Williams",495,805,1624,"Saskatoon, Saskatchewan ","Elementary School teacher, mathematics enthusiast and President of the @smtsca. Creator of the math game @representgame. He/Him",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1314938254609674240","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
"x192343055","x1314393669609242624",2020-10-09 02:34:05,"SMTSca","Great PD tonight with amazing teachers from across Sask. I know it was supposed to end at 7:45 but a few teachers stayed on and talked math for another hour! ❤️❤️❤️ this is why I love the math community. @SMTSca @math_sask @STFLearning","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x490578906","Chadillac60","en",,,,,,,,,,,,,,,,"x1314393576374067200","Great PD tonight with amazing teachers from across Sask. I know it was supposed to end at 7:45 but a few teachers stayed on and talked math for another hour! ❤️❤️❤️ this is why I love the math community. @SMTSca @math_sask @STFLearning",2020-10-09 02:33:43,"Twitter for iPhone",5,2,"x490578906","Chadillac60","Chad Williams",495,805,1624,"Saskatoon, Saskatchewan ","Elementary School teacher, mathematics enthusiast and President of the @smtsca. Creator of the math game @representgame. He/Him",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SMTSca/status/1314393669609242624","Sask Math Teachers","Saskatchewan, Canada","A Professional Growth Network of the @SaskTeachersFed, the Saskatchewan Mathematics Teachers Society strives to foster excellence in K-12 mathematics education","https://t.co/4UN822ndzm",FALSE,947,90,26,1099,302,2010-09-18 21:41:04,FALSE,"https://t.co/4UN822ndzm","http://www.smts.ca",,"https://pbs.twimg.com/profile_banners/192343055/1460227996","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/739547361576243201/-paJ5svs_normal.jpg"
