"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x893632673540976644","x1322332737727090688",2020-10-31 00:21:07,"seriousgames123","Games like Quandary blend academic learning with social-emotional development. How games can help with SEL in the digital classroom: https://t.co/rI8n70khx4 Featuring insights from @MatthewFarber @drgamermom, @iThriveGames &amp; @FVStudioBoston #edtech #gbl #SEL #games4ed https://t.co/75hq7AKnxQ","#seriousgames",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x589282501","QuandaryGame","en",,,,,,,,,,,,,,,,"x1322319942558093312","Games like Quandary blend academic learning with social-emotional development. How games can help with SEL in the digital classroom: https://t.co/rI8n70khx4 Featuring insights from @MatthewFarber @drgamermom, @iThriveGames &amp; @FVStudioBoston #edtech #gbl #SEL #games4ed https://t.co/75hq7AKnxQ",2020-10-30 23:30:16,"Hootsuite Inc.",2,3,"x589282501","QuandaryGame","Quandary",430,558,1676,"Planet Braxos","Quandary is a free, online game that encourages players to think ethically as they lead a colony struggling for survival on planet Braxos.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/seriousgames123/status/1322332737727090688","#seriousgames","#seriousgames","Bot that automatically retweets #seriousgames and other indie educational/learning game-related tags! By @ashes999",,FALSE,863,5,27,56154,0,2017-08-05 00:40:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/893632673540976644/1501894661","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/893637032353816576/dGcu968N_normal.jpg"
"x893632673540976644","x1322302594337902597",2020-10-30 22:21:20,"seriousgames123","Please follow @MsGianas and @Mmmmmmmercury immediately. How they don’t have 100k followers is crazy. They constantly create &amp; share amazing lessons ideas and resources! #education #edtech #esports #gbl #esportsedu","#seriousgames",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1596851928 x3655798462 x749695147","TechedUpTeacher MsGianas Mmmmmmmercury","en",,,,,,,,,,,,,,,,"x1322300504391753730","Please follow @MsGianas and @Mmmmmmmercury immediately. How they don’t have 100k followers is crazy. They constantly create &amp; share amazing lessons ideas and resources! #education #edtech #esports #gbl #esportsedu",2020-10-30 22:13:02,"Twitter for iPhone",7,2,"x1596851928","TechedUpTeacher","Chris Aviles",9076,1760,13565,"Jersey Shore","Teacher & COO of student-run https://t.co/1IGj0UNq1e EdCorps|Founder @GSEsportsorg|@NASEFedu Mentor|@FHKesports Head Coach|CIO @SiLASSolutions|Google Cert. Innovator|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/seriousgames123/status/1322302594337902597","#seriousgames","#seriousgames","Bot that automatically retweets #seriousgames and other indie educational/learning game-related tags! By @ashes999",,FALSE,863,5,27,56154,0,2017-08-05 00:40:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/893632673540976644/1501894661","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/893637032353816576/dGcu968N_normal.jpg"
"x14813636","x1322264391065194496",2020-10-30 19:49:31,"hodgesc","This was published in 1994.  Aren't we still saying these same things? ""Why Use Technology?"" https://t.co/6q87u6qrL5 #edtech","Twitter Web App",124,,,,FALSE,FALSE,0,0,,,"edtech",,"ascd.org/publications/e…","https://t.co/6q87u6qrL5","http://www.ascd.org/publications/educational-leadership/apr94/vol51/num07/Why-Use-Technology%C2%A2.aspx",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hodgesc/status/1322264391065194496","Chuck Hodges","Coastal Georgia, USA","Husband, Dad, Professor of Instructional Technology, Editor-in-Chief, runner, Gen Xer, Tweets are my own, Retweets are not necessarily endorsements.","https://t.co/owyA6HG8Yu",FALSE,1743,1542,204,10183,3950,2008-05-17 19:02:59,FALSE,"https://t.co/owyA6HG8Yu","http://about.me/hodges.chuck",,"https://pbs.twimg.com/profile_banners/14813636/1571620415","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1237838210279051264/ALhLF79s_normal.jpg"
"x14813636","x1322332713060192256",2020-10-31 00:21:01,"hodgesc","#AERA21 success with “An Analysis of School System Educational Technology Planning Documents from One Southern State""  This year no stress over when to buy plane tickets or affording crazy expensive lodging.  #ProfLife #AERA2021 #edtech","Twitter for iPhone",236,,,,FALSE,FALSE,0,0,,,"AERA21 ProfLife AERA2021 edtech",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hodgesc/status/1322332713060192256","Chuck Hodges","Coastal Georgia, USA","Husband, Dad, Professor of Instructional Technology, Editor-in-Chief, runner, Gen Xer, Tweets are my own, Retweets are not necessarily endorsements.","https://t.co/owyA6HG8Yu",FALSE,1743,1542,204,10183,3950,2008-05-17 19:02:59,FALSE,"https://t.co/owyA6HG8Yu","http://about.me/hodges.chuck",,"https://pbs.twimg.com/profile_banners/14813636/1571620415","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1237838210279051264/ALhLF79s_normal.jpg"
"x584411907","x1322332631137193985",2020-10-31 00:20:41,"caouette_jen","Choice boards  and checklists are how I assign &amp; track asynchronous work without losing my mind. Check my “Hybrid grading” IG highlight for the rundown... #edtech #googleclassroom @GoogleForEdu #GoogleEduChat #googleET #distancelearning #remotelearning #teachertwitter #teachers https://t.co/nm29srmLZs","Twitter for iPhone",144,,,,FALSE,TRUE,0,5,,,,,,,,,,,,,,,,"x3269749135","aprimarylife","en",,,,,,,,,,,,,,,,"x1322000469066096640","Choice boards  and checklists are how I assign &amp; track asynchronous work without losing my mind. Check my “Hybrid grading” IG highlight for the rundown... #edtech #googleclassroom @GoogleForEdu #GoogleEduChat #googleET #distancelearning #remotelearning #teachertwitter #teachers https://t.co/nm29srmLZs",2020-10-30 02:20:48,"Twitter for iPhone",29,5,"x3269749135","aprimarylife","A Primary Kind Of Life",2450,255,362,"","4th grade teacher mama, Google Trainer. Finding humor in the chaos. Starbucks & cute fonts are my love language. #aplfonts Instagram: aprimarykindoflife",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/caouette_jen/status/1322332631137193985","Jennifer Caouette","","Teacher, Graduate Student (MAT Elementary K-6) Rider University, Boston University (SAR)",,FALSE,81,328,1,857,3529,2012-05-19 01:44:09,FALSE,,,,,"http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/2397942694/Npt7z53P_normal"
"x2724667153","x1322332449339281410",2020-10-31 00:19:58,"blvrdvr","Inspiring Confidence In Education With VR - Part Two via @forbes https://t.co/0QqMA7zjG9 #VR #education #edtech","Twitter Web App",111,,,,FALSE,FALSE,0,0,,,"VR education edtech",,"forbes.com/sites/charlest…","https://t.co/0QqMA7zjG9","https://www.forbes.com/sites/charlestowersclark/2020/10/23/inspiring-confidence-in-education-with-vrpart-two/",,,,,,,,,"x91478624","Forbes","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/blvrdvr/status/1322332449339281410","Boulevard","New York","Partnering with leading museums and cultural sites, Boulevard (BLVRD) gives immersive access and revolutionizes the way the world looks at the arts.","https://t.co/BC2GB2d5Cb",FALSE,1534,1513,254,10799,4559,2014-08-11 20:52:45,FALSE,"https://t.co/BC2GB2d5Cb","http://blvrd.com",,"https://pbs.twimg.com/profile_banners/2724667153/1488308967","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/832238195194597376/qEKhbBWW_normal.jpg"
"x182539117","x1322331954168123394",2020-10-31 00:18:00,"s_bearden","Remote-learning health tips to prevent neck pain and eye strain in children - https://t.co/3Hv9tbs3X7 #edtech #edtechchat #edchat","TweetDeck",129,,,,FALSE,FALSE,0,0,,,"edtech edtechchat edchat",,"susanmb.me/3il5dzv","https://t.co/3Hv9tbs3X7","https://susanmb.me/3il5dzv",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/s_bearden/status/1322331954168123394","Susan M. Bearden, CETL","Connecticut and Florida","Educator, Technologist. Director of Digital Programs, @InnovateEduNYC. Author https://t.co/qfTRYmosl9. Tweets about #EdTech. Personal account, opinions mine.","https://t.co/Ozohh7WZKH",FALSE,26943,10089,1438,67807,47480,2010-08-24 20:53:25,FALSE,"https://t.co/Ozohh7WZKH","http://www.linkedin.com/in/susanmbearden",,"https://pbs.twimg.com/profile_banners/182539117/1479996760","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/541230851929808896/CempjbYW_normal.jpeg"
"x1027256567542898688","x1322331772760313856",2020-10-31 00:17:17,"Career_Karma","Just started listening to the Breaking into Startups podcast and I've found it very insightful. They have people from many nontraditional backgrounds simply sharing their stories and what they've learned along their journey on career growth and improvement.
@everest10x #edtech","Twitter for iPhone",139,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x500120756","emilycsm26","en",,,,,,,,,,,,,,,,"x1322203930084941824","Just started listening to the Breaking into Startups podcast and I've found it very insightful. They have people from many nontraditional backgrounds simply sharing their stories and what they've learned along their journey on career growth and improvement.
@everest10x #edtech",2020-10-30 15:49:16,"Twitter for Android",9,3,"x500120756","emilycsm26","Emily エミリー🇵🇦",113,232,777,"Washington, DC","Philippians 4:7
STEM career, learning some Python and looking for new opportunities.
Sharing my faith anyway I can. 🌺
12/01/19 💕",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Career_Karma/status/1322331772760313856","Career Karma","San Francisco, CA","The easiest way to find a job training program online (YC W19) #futureofwork","https://t.co/xRDm3uDRBL",FALSE,9891,3411,90,23964,34303,2018-08-08 18:13:45,FALSE,"https://t.co/xRDm3uDRBL","https://ck.chat/cktw",,"https://pbs.twimg.com/profile_banners/1027256567542898688/1540535163","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1027257809182777344/9Lb7PmQv_normal.jpg"
"x895322318150488071","x1322331422082957313",2020-10-31 00:15:53,"natrellabot","Listen to @THRIVEinEDU by @Rdene915. ⚓ https://t.co/ForGPWtkXi Topics #education #SEL #edtech #AI #k12 #remotelearning #future4edu #quotes4edu #podcastedu #selfcare #edutwitter #teaching https://t.co/Lfpoo1XX9o","Natrella Bot",140,,,,FALSE,TRUE,0,1,,,"education SEL edtech AI k12 remotelearning",,"ift.tt/3jlCECt","https://t.co/ForGPWtkXi","https://ift.tt/3jlCECt",,,,,,,,,"x49860518 x1257066635371913217 x49860518","Rdene915 thriveinedu Rdene915","en",,,,,,,,,,,,,,,,"x1322331320249364481","Listen to @THRIVEinEDU by @Rdene915. ⚓ https://t.co/ForGPWtkXi Topics #education #SEL #edtech #AI #k12 #remotelearning #future4edu #quotes4edu #podcastedu #selfcare #edutwitter #teaching https://t.co/Lfpoo1XX9o",2020-10-31 00:15:29,"IFTTT",1,1,"x49860518","Rdene915","Rachelle Dené Poth |@ThriveinEDU #ARVR #AI",27870,9850,150996,"Pittsburgh","💥ISTE Certified Educator |Teacher| Consultant| Speaker|Attorney |Author |Past-pres #ISTETEN |Blogger | Buncee |Nearpod #PioNear| #EduGladiator #THRIVEinEDU💥💜",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/natrellabot/status/1322331422082957313","Natrella Bot","All Over The World","A friendly BOT here to help you celebrate and take pride in your self-care moments! ⚡️  Check out our free #selfcare app! 🤗✨🌟👋","https://t.co/Dwz0retzZA",FALSE,1911,1,20,110569,303,2017-08-09 16:34:09,FALSE,"https://t.co/Dwz0retzZA","http://getnatrella.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1128543460720562177/YY_RbVqt_normal.png"
"x49860518","x1322331320249364481",2020-10-31 00:15:29,"Rdene915","Listen to @THRIVEinEDU by @Rdene915. ⚓ https://t.co/ForGPWtkXi Topics #education #SEL #edtech #AI #k12 #remotelearning #future4edu #quotes4edu #podcastedu #selfcare #edutwitter #teaching https://t.co/Lfpoo1XX9o","IFTTT",186,,,,FALSE,FALSE,1,1,,,"education SEL edtech AI k12 remotelearning future4edu quotes4edu podcastedu selfcare edutwitter teaching",,"ift.tt/3jlCECt","https://t.co/ForGPWtkXi","https://ift.tt/3jlCECt","http://pbs.twimg.com/media/ElndVDIXEAA0o16.jpg","https://t.co/Lfpoo1XX9o","https://twitter.com/Rdene915/status/1322331320249364481/photo/1","photo","http://pbs.twimg.com/media/ElndVDIXEAA0o16.jpg","https://t.co/Lfpoo1XX9o","https://twitter.com/Rdene915/status/1322331320249364481/photo/1",,"x1257066635371913217 x49860518","thriveinedu Rdene915","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rdene915/status/1322331320249364481","Rachelle Dené Poth |@ThriveinEDU #ARVR #AI","Pittsburgh","💥ISTE Certified Educator |Teacher| Consultant| Speaker|Attorney |Author |Past-pres #ISTETEN |Blogger | Buncee |Nearpod #PioNear| #EduGladiator #THRIVEinEDU💥💜","https://t.co/eN0hRsmpUq",FALSE,27870,9850,1150,150996,194969,2009-06-23 02:45:55,FALSE,"https://t.co/eN0hRsmpUq","https://sites.google.com/view/rachelledenepoth/about-me",,"https://pbs.twimg.com/profile_banners/49860518/1586543788","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1076660238110076928/5jF2rnzi_normal.jpg"
