"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x358504323","x1329805859111759875",2020-11-20 15:16:38,"EatSleepMath","Hey @NBPSEagles check out today's @GoogleDoodles on @BenoitMandelbot Polish born, French American ""the father of fractal geometry"" - Think of snowflakes, ocean waves, DNA, crystals or pineapples.  #math #mathEd #alwaysquestion #alwayswonder","Twitter Web App",240,,,,FALSE,FALSE,0,0,,,"math mathEd alwaysquestion alwayswonder",,,,,,,,,,,,,"x455728447 x296459271 x825494688689950722","NBPSEagles GoogleDoodles BenoitMandelbot","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EatSleepMath/status/1329805859111759875","L. Barbag","Florida","Upper School Math Teacher & Department Chair at North Broward Preparatory School. Google Level 2 Certified Teacher/Apple Swift Playgrounds Certified Teacher",,FALSE,460,469,37,2165,1759,2011-08-20 01:26:11,FALSE,,,,"https://pbs.twimg.com/profile_banners/358504323/1354722210","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1510662833/tweet-1_normal.jpg"
"x1167485167868530690","x1329803195237937154",2020-11-20 15:06:02,"CandaceWalking1","Join me tomorrow for the Research in Math Education Writing Group, tomorrow!  Come for motivation and accountability to get any of your writing done. #rme #mathed #phdlife https://t.co/uI69DCaeVx","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x3057732302","TPruittBritton","en",,,,,,,,,,,,,,,,"x1329545503890137092","Join me tomorrow for the Research in Math Education Writing Group, tomorrow!  Come for motivation and accountability to get any of your writing done. #rme #mathed #phdlife https://t.co/uI69DCaeVx",2020-11-19 22:02:04,"Twitter for Android",3,1,"x3057732302","TPruittBritton","Tiffini Pruitt-Britton",43,99,124,"Texas, USA","Ph.D. in progress. Research focus on Culturally Resposive Teaching. Math professor. Movie junkie. Zumba instructor. Mommy to Dallas and Denver.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CandaceWalking1/status/1329803195237937154","Candace Walkington","Dallas, TX","Associate Professor of Mathematics Education, Learning Scientist, Math Video Game Developer, Researches personalized and embodied learning",,FALSE,141,187,2,78,204,2019-08-30 17:12:15,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1167485595645612032/uSgbGKNk_normal.jpg"
"x2175407143","x1329797195944452097",2020-11-20 14:42:12,"LindsaySwan12","Check out these free #math apps that you can use in your remote or onsite classes: https://t.co/v7atY59Vms @georgegadanidis #mathed #onted #mathapps #iteachmath #remotelearning https://t.co/lM9W2QlmLD","Twitter for iPhone",140,,,,FALSE,TRUE,0,9,,,"math",,"mathsurprise.ca/math-apps/","https://t.co/v7atY59Vms","https://mathsurprise.ca/math-apps/",,,,,,,,,"x2859786382","lisaannefloyd","en",,,,,,,,,,,,,,,,"x1329625442790346759","Check out these free #math apps that you can use in your remote or onsite classes: https://t.co/v7atY59Vms @georgegadanidis #mathed #onted #mathapps #iteachmath #remotelearning https://t.co/lM9W2QlmLD",2020-11-20 03:19:43,"Twitter Web App",38,9,"x2859786382","lisaannefloyd","Lisa Anne Floyd",8873,7795,15967,"London, Ontario","PhD Student~Researcher: K-12 Teacher Education, Computational Thinking, Coding~Lifelong Learner/Teacher~Western U Instructor~Speaker~BSc BEd MPEd-Math",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LindsaySwan12/status/1329797195944452097","Lindsay Swan","","","https://t.co/CdzkYySXhu",FALSE,245,495,9,339,581,2013-11-05 05:22:48,FALSE,"https://t.co/CdzkYySXhu","http://jbcstt.blogspot.ca",,"https://pbs.twimg.com/profile_banners/2175407143/1599288768","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1302137006592458753/-TjEvHLh_normal.jpg"
"x1329791199973085185","x1329791866074763267",2020-11-20 14:21:01,"ChristineLoh18","#mathed","Twitter for Android",7,,,,FALSE,FALSE,0,0,,,"mathed",,,,,,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChristineLoh18/status/1329791866074763267","Christine Loh","","Math instructor, dreamer, explorer",,FALSE,0,0,0,2,0,2020-11-20 14:18:35,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1329791499811377152/Zz-XJ3kI_normal.jpg"
"x1057263058744156160","x1329775521236983809",2020-11-20 13:16:04,"3RTeacherTrain","Most teachers know that you can't divide by ZERO. But can you explain to your students why?

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/rRNsC2jwR0","SmarterQueue",139,,,,FALSE,TRUE,0,3,,,"mathchat maths mathed",,,,,,,,,,,,,"x1577714022","DoctorBillTozzo","en",,,,,,,,,,,,,,,,"x1320696899884752903","Most teachers know that you can't divide by ZERO. But can you explain to your students why?

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/rRNsC2jwR0",2020-10-26 12:00:52,"SmarterQueue",3,3,"x1577714022","DoctorBillTozzo","Dr. Bill Tozzo",1386,109,7781,"Connecticut","I'm a husband, father and teacher. I do my best to make teaching easier for other teachers - because it needs to be! #3RT",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1329775521236983809","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1327793662529597440",2020-11-15 02:00:53,"3RTeacherTrain","LEARNING HAPPENS when students THINK HARD 🤔 - and they won’t think hard if they fail all the time.

Choose your problems carefully and build gradually. 🤓📖📚

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/SM1pVmnWga","SmarterQueue",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1057263058744156160","3RTeacherTrain","en",,,,,,,,,,,,,,,,"x1319039598534733830","LEARNING HAPPENS when students THINK HARD 🤔 - and they won’t think hard if they fail all the time.

Choose your problems carefully and build gradually. 🤓📖📚

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/SM1pVmnWga",2020-10-21 22:15:21,"SmarterQueue",3,2,"x1057263058744156160","3RTeacherTrain","3R Teacher Training - Drs. Bill & Amy Tozzo",53,90,606,"Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1327793662529597440","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1329639758042165250",2020-11-20 04:16:36,"3RTeacherTrain","Learn the foundations of Singapore Math - online, self-paced and from a world famous educator Dr. Yeap Ban Har!

#mathchat #maths #mathed #MTBoS #iteachmath #SingaporeMath #3RT
https://t.co/MC5HiflUFa","SmarterQueue",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1057263058744156160","3RTeacherTrain","en",,,,,,,,,,,,,,,,"x1316940738077335553","Learn the foundations of Singapore Math - online, self-paced and from a world famous educator Dr. Yeap Ban Har!

#mathchat #maths #mathed #MTBoS #iteachmath #SingaporeMath #3RT
https://t.co/MC5HiflUFa",2020-10-16 03:15:14,"SmarterQueue",2,2,"x1057263058744156160","3RTeacherTrain","3R Teacher Training - Drs. Bill & Amy Tozzo",53,90,606,"Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1329639758042165250","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1328110824846729219",2020-11-15 23:01:10,"3RTeacherTrain","Boaler and Dweck’s work does NOT suggest that students should struggle and fail all the time - yet it is interpreted by many schools this way. Don’t overlook the importance of success as a motivator.

#3RT #mathchat #mathed #MTBoS #iteachmath
#TeacherPD #ProfDev #NTChat https://t.co/9aALWB3IEm","SmarterQueue",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1057263058744156160","3RTeacherTrain","en",,,,,,,,,,,,,,,,"x1319337935855079426","Boaler and Dweck’s work does NOT suggest that students should struggle and fail all the time - yet it is interpreted by many schools this way. Don’t overlook the importance of success as a motivator.

#3RT #mathchat #mathed #MTBoS #iteachmath
#TeacherPD #ProfDev #NTChat https://t.co/9aALWB3IEm",2020-10-22 18:00:50,"SmarterQueue",0,2,"x1057263058744156160","3RTeacherTrain","3R Teacher Training - Drs. Bill & Amy Tozzo",53,90,606,"Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1328110824846729219","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1327102807611158528",2020-11-13 04:15:40,"3RTeacherTrain","Do you want to learn about Singapore Mathematics from world-renowned educators? How about at your own pace with 3 Graduate Credits? We just launched a new course for you!😍

https://t.co/jnZ7JbQ9bM
#mathchat #maths #mathed #MTBoS #iteachmath #3RT #SingaporeMath @ban_har https://t.co/xKpQ4ba73x","SmarterQueue",269,,,,FALSE,FALSE,0,1,,,"mathchat maths mathed MTBoS iteachmath 3RT SingaporeMath",,"bit.ly/2GrEGmf","https://t.co/jnZ7JbQ9bM","https://bit.ly/2GrEGmf","http://pbs.twimg.com/ext_tw_video_thumb/1327102779924635651/pu/img/gnHLu4tD9uYQ2FlQ.jpg","https://t.co/xKpQ4ba73x","https://twitter.com/3RTeacherTrain/status/1327102807611158528/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1327102779924635651/pu/img/gnHLu4tD9uYQ2FlQ.jpg","https://t.co/xKpQ4ba73x","https://twitter.com/3RTeacherTrain/status/1327102807611158528/video/1",,"x1649559763","ban_har","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1327102807611158528","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1328880838554038274",2020-11-18 02:00:55,"3RTeacherTrain","👉🏽 Mass Practice - Many in one assignment
👉🏽 Spaced - Few over several assignments
Spaced practice is a straightforward and highly effective way to improve learning😎

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/J1LdqEnRH6","SmarterQueue",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1057263058744156160","3RTeacherTrain","en",,,,,,,,,,,,,,,,"x1316502882137657345","👉🏽 Mass Practice - Many in one assignment
👉🏽 Spaced - Few over several assignments
Spaced practice is a straightforward and highly effective way to improve learning😎

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/J1LdqEnRH6",2020-10-14 22:15:21,"SmarterQueue",2,2,"x1057263058744156160","3RTeacherTrain","3R Teacher Training - Drs. Bill & Amy Tozzo",53,90,606,"Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1328880838554038274","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1328745235569106945",2020-11-17 17:02:05,"3RTeacherTrain","Get ALL of our Resource and PD posts in a single weekly email. Head over to our site subscribe to our Weekly Digest!

#mathchat #maths #mathed #MTBoS #iteachmath #3RT
https://t.co/MxQkVfdGW3 https://t.co/AFRwrWkbO5","SmarterQueue",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1057263058744156160","3RTeacherTrain","en",,,,,,,,,,,,,,,,"x1317193751123689472","Get ALL of our Resource and PD posts in a single weekly email. Head over to our site subscribe to our Weekly Digest!

#mathchat #maths #mathed #MTBoS #iteachmath #3RT
https://t.co/MxQkVfdGW3 https://t.co/AFRwrWkbO5",2020-10-16 20:00:37,"SmarterQueue",1,2,"x1057263058744156160","3RTeacherTrain","3R Teacher Training - Drs. Bill & Amy Tozzo",53,90,606,"Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1328745235569106945","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1328442933805281281",2020-11-16 21:00:51,"3RTeacherTrain","Learn from from Dr. Yeap Ban Har anytime, anywhere and at your own pace! You can earn 3 graduate credits as well! Check out the new course we just created!😍

https://t.co/jnZ7JbQ9bM
#mathchat #maths #mathed #MTBoS #iteachmath #3RT #SingaporeMath @Ban_Har https://t.co/MbSChMDd4n","SmarterQueue",254,,,,FALSE,FALSE,1,1,,,"mathchat maths mathed MTBoS iteachmath 3RT SingaporeMath",,"bit.ly/2GrEGmf","https://t.co/jnZ7JbQ9bM","https://bit.ly/2GrEGmf","http://pbs.twimg.com/ext_tw_video_thumb/1328442906684887044/pu/img/wSTBxF8IR7NICvWs.jpg","https://t.co/MbSChMDd4n","https://twitter.com/3RTeacherTrain/status/1328442933805281281/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1328442906684887044/pu/img/wSTBxF8IR7NICvWs.jpg","https://t.co/MbSChMDd4n","https://twitter.com/3RTeacherTrain/status/1328442933805281281/video/1",,"x1649559763","ban_har","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1328442933805281281","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
"x1057263058744156160","x1328322265038135297",2020-11-16 13:01:21,"3RTeacherTrain","When I hear a student say “When will we ever use this?” I hear, “I don’t understand this.” I rarely hear it from students who are doing well in a lesson. It’s a queue for me to reflect on my teaching. . . -Bill

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/GxTfzAg486","SmarterQueue",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x1057263058744156160","3RTeacherTrain","en",,,,,,,,,,,,,,,,"x1316182080510976001","When I hear a student say “When will we ever use this?” I hear, “I don’t understand this.” I rarely hear it from students who are doing well in a lesson. It’s a queue for me to reflect on my teaching. . . -Bill

#mathchat #maths #mathed #MTBoS #iteachmath #3RT https://t.co/GxTfzAg486",2020-10-14 01:00:36,"SmarterQueue",2,3,"x1057263058744156160","3RTeacherTrain","3R Teacher Training - Drs. Bill & Amy Tozzo",53,90,606,"Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/3RTeacherTrain/status/1328322265038135297","3R Teacher Training - Drs. Bill & Amy Tozzo","Brewster","Helping you take your teaching to the next level and beyond! On-site, workshops, and online - we love what we do and we're here to help. Amy & Bill","https://t.co/yBkBp5tzFP",FALSE,53,90,0,606,78,2018-10-30 13:28:51,FALSE,"https://t.co/yBkBp5tzFP","https://3RTeacherTraining.com",,"https://pbs.twimg.com/profile_banners/1057263058744156160/1557964276","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057295716916162560/fvQ3ENKt_normal.jpg"
