"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x217123104","x1322351448533991424",2020-10-31 01:35:28,"THINK_PhD","We are on a mission to capture the excellence of #HBCUs in the production of Black #STEM graduates. Please retweet and share this survey link - Looking for #HBCU Alum who are pursing or completed any graduate level degree. 
https://t.co/L8teMCGfYt https://t.co/TmeT7wPaqD","Twitter for iPhone",140,,,,FALSE,TRUE,0,7,,,"HBCUs STEM",,,,,,,,,,,,,"x1250427105344548865","STEMatHBCUs","en",,,,,,,,,,,,,,,,"x1322346769540329475","We are on a mission to capture the excellence of #HBCUs in the production of Black #STEM graduates. Please retweet and share this survey link - Looking for #HBCU Alum who are pursing or completed any graduate level degree. 
https://t.co/L8teMCGfYt https://t.co/TmeT7wPaqD",2020-10-31 01:16:52,"Twitter Web App",7,7,"x1250427105344548865","STEMatHBCUs","All Things #STEM at #HBCUs 🧑🏿‍💻👩🏾‍💻",40,339,427,"","We want to hear YOUR HBCU STEM Success Story! Fill out our survey today! 
https://t.co/ULlRhxYESk 
#STEMatHBCUs",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THINK_PhD/status/1322351448533991424","T H I N K","Virginia, USA","I waited at the counter of a white restaurant for eleven years. When they finally integrated, they didn't have what I wanted. - Dick Gregory",,FALSE,1365,412,23,214688,34199,2010-11-18 17:03:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/217123104/1485042736","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1282189968765521921/irZ6hMgo_normal.jpg"
"x217123104","x1322351433405136896",2020-10-31 01:35:24,"THINK_PhD","Help us share your story and the positive impact your HBCU experience had on you and your graduate education! #HBCUs #STEM #GraduateStudies https://t.co/CBu8uv0D2f","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,"HBCUs STEM",,,,,,,,,,,,,"x89101884","AECoso","en",,,,,,,,,,,,,,,,"x1322350816624365571","Help us share your story and the positive impact your HBCU experience had on you and your graduate education! #HBCUs #STEM #GraduateStudies https://t.co/CBu8uv0D2f",2020-10-31 01:32:57,"Twitter for Android",0,1,"x89101884","AECoso","Dr. Alexandra Coso Strong",479,498,381,"Miami, FL","(she/her/hers) Assistant Professor of Eng Ed at Florida International University #eddesigner #aerospaceeng #engedresearcher  #facultydeveloper #FIU_ReDes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THINK_PhD/status/1322351433405136896","T H I N K","Virginia, USA","I waited at the counter of a white restaurant for eleven years. When they finally integrated, they didn't have what I wanted. - Dick Gregory",,FALSE,1365,412,23,214688,34199,2010-11-18 17:03:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/217123104/1485042736","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1282189968765521921/irZ6hMgo_normal.jpg"
"x863093138835087360","x1322351381181796352",2020-10-31 01:35:12,"MindsSprouting","🚄Here's your ticket to ride along as we highlight the unique #educational #technology of @intelino Smart #Train Set. All aboard for full #STEAM #learning ahead! AD https://t.co/wmhURZhk9t #STEM #STEMeducation #education #tech #trains #intelino #toys #toy #giftideas #holidaygifts https://t.co/JG5OvRV29p","CinchShare",140,,,,FALSE,TRUE,0,39,,,"educational technology Train",,,,,,,,,,,,,"x27067456 x97714045","niecyisms intelino","en",,,,,,,,,,,,,,,,"x1321883970838106113","🚄Here's your ticket to ride along as we highlight the unique #educational #technology of @intelino Smart #Train Set. All aboard for full #STEAM #learning ahead! AD https://t.co/wmhURZhk9t #STEM #STEMeducation #education #tech #trains #intelino #toys #toy #giftideas #holidaygifts https://t.co/JG5OvRV29p",2020-10-29 18:37:52,"Twitter Web App",5,39,"x27067456","niecyisms","niecyisms by CLC Studios",8240,4126,182064,"New York #NYC","Creative Director | Consumer Journalist | Content Creator | #SocialMedia Influencer |#BrandAmbassador | #Education Consultant | #Reviewer",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MindsSprouting/status/1322351381181796352","The Sprouting Minds | Kids & Momlife","Louisiana, USA","Blogging while keeping up with my 3 kids 😁 #louisiana #parenting #momstyle #kidactivities #recipes #momblogger #influencer #momlife","https://t.co/TryJ8NQbML",FALSE,2151,1482,18,22295,9410,2017-05-12 18:06:54,FALSE,"https://t.co/TryJ8NQbML","http://www.thesproutingminds.com",,"https://pbs.twimg.com/profile_banners/863093138835087360/1544758722","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1203101696957861888/mB2m1VSl_normal.jpg"
"x863093138835087360","x1322348869586485253",2020-10-31 01:25:13,"MindsSprouting","EDUCATIONAL, SUSTAINABLE &amp; SOCIALLY RESPONSIBLE TOYS FOR THE 2020 HOLIDAY SEASON! Hot off the press! 🎁https://t.co/M0e0d9LPPa 

#STEM
#Sustainable
#SociallyResponsible https://t.co/mxeIxLaKUA","CinchShare",144,,,,FALSE,TRUE,0,38,,,,,,,,,,,,,,,,"x85727897","boredmoms","en",,,,,,,,,,,,,,,,"x1321531246011248641","EDUCATIONAL, SUSTAINABLE &amp; SOCIALLY RESPONSIBLE TOYS FOR THE 2020 HOLIDAY SEASON! Hot off the press! 🎁https://t.co/M0e0d9LPPa 

#STEM
#Sustainable
#SociallyResponsible https://t.co/mxeIxLaKUA",2020-10-28 19:16:16,"Twitter Web App",5,38,"x85727897","boredmoms","bored mom",3061,2886,36274,"United States","Fighting Boredom with Healthy Food + Creative Living - B.S. Dietetics Cal Poly SLO #plantbased #FoodBlogger #Travel #influencer #SanDiego",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MindsSprouting/status/1322348869586485253","The Sprouting Minds | Kids & Momlife","Louisiana, USA","Blogging while keeping up with my 3 kids 😁 #louisiana #parenting #momstyle #kidactivities #recipes #momblogger #influencer #momlife","https://t.co/TryJ8NQbML",FALSE,2151,1482,18,22295,9410,2017-05-12 18:06:54,FALSE,"https://t.co/TryJ8NQbML","http://www.thesproutingminds.com",,"https://pbs.twimg.com/profile_banners/863093138835087360/1544758722","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1203101696957861888/mB2m1VSl_normal.jpg"
"x310897418","x1322340405296484363",2020-10-31 00:51:35,"AaronCuddeback","15 Most Incredible Giant Robots In The World

#robotics #ML #AI #technology #tech #womenintech #STEM #WomenInSTEM #Robots #DnD #GameDev #Python #Coding #programming 

https://t.co/197kDPKWgC","aaroncuddeback.com",140,,,,FALSE,TRUE,0,9,,,"robotics ML AI technology tech womenintech STEM WomenInSTEM Robots",,,,,,,,,,,,,"x1104385248543080449","1Knight72","en",,,,,,,,,,,,,,,,"x1322339142420860929","15 Most Incredible Giant Robots In The World

#robotics #ML #AI #technology #tech #womenintech #STEM #WomenInSTEM #Robots #DnD #GameDev #Python #Coding #programming 

https://t.co/197kDPKWgC",2020-10-31 00:46:34,"Twitter Web App",2,9,"x1104385248543080449","1Knight72","✝️🦇 Eddie 💻⚖️",1445,1653,31950,"Undisclosed ","Web Developer-in-training. 

#Christian | #Veteran | #WrongfullyConvicted | #CivilRights | #Paralegal | #LambdaSchool | #WebDev  | #Cybersecurity | #Godot",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AaronCuddeback/status/1322340405296484363","Aaron ''Midlife Coder'' Cuddeback","Sacramento, CA","Midlife Coder
Father, Entrepreneur, CEO, Software Developer,  Fearless.
owner: https://t.co/YVyJ5hCGlt","https://t.co/oLCJZbKKZ3",FALSE,14890,129,273,999915,35992,2011-06-04 14:57:55,FALSE,"https://t.co/oLCJZbKKZ3","https://aaroncuddeback.dev",,"https://pbs.twimg.com/profile_banners/310897418/1572929508","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1296150707821637639/CaDtXQlj_normal.jpg"
"x310897418","x1322351363632844800",2020-10-31 01:35:07,"AaronCuddeback","It's late in Vonderay.
Welcome to Xoviion.

https://t.co/0lVFZFL47I
Read free with Kindle Unlimited today.

#Algorithms #code #FullStack #Python #Javascript #Kindle #KindleUnlimited #Nodejs #SpringBoot #NoCode #STEM #Students #React #lowpoly #React #book #lowpoly #Reading #code","aaroncuddeback.com",140,,,,FALSE,TRUE,0,5,,,"Algorithms",,"amazon.com/WelcometoXovii…","https://t.co/0lVFZFL47I","https://amazon.com/WelcometoXoviion/dp/B07ZWNPHNR",,,,,,,,,"x1073344288547897345","itinerbury","en",,,,,,,,,,,,,,,,"x1322346172661428225","It's late in Vonderay.
Welcome to Xoviion.

https://t.co/0lVFZFL47I
Read free with Kindle Unlimited today.

#Algorithms #code #FullStack #Python #Javascript #Kindle #KindleUnlimited #Nodejs #SpringBoot #NoCode #STEM #Students #React #lowpoly #React #book #lowpoly #Reading #code",2020-10-31 01:14:30,"Twitter Web App",3,5,"x1073344288547897345","itinerbury","Itinerbury Publishing - Incredible Interaction.",120,109,161,"Boise, ID","Welcome to the home of great entertainment, where we believe that excellent content helps fuel a rich and fulfilling journey.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AaronCuddeback/status/1322351363632844800","Aaron ''Midlife Coder'' Cuddeback","Sacramento, CA","Midlife Coder
Father, Entrepreneur, CEO, Software Developer,  Fearless.
owner: https://t.co/YVyJ5hCGlt","https://t.co/oLCJZbKKZ3",FALSE,14890,129,273,999915,35992,2011-06-04 14:57:55,FALSE,"https://t.co/oLCJZbKKZ3","https://aaroncuddeback.dev",,"https://pbs.twimg.com/profile_banners/310897418/1572929508","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1296150707821637639/CaDtXQlj_normal.jpg"
"x919624309","x1322351342598443008",2020-10-31 01:35:02,"Eduporium","8 Steps for Setting Up a School #Robotics Club - How to Gain Administrator Support and More. 

Read: https://t.co/XTMOd2C9jq #coding #STEM #edutwitter https://t.co/90DsLF0twc","Hootsuite Inc.",150,,,,FALSE,FALSE,0,0,,,"Robotics coding STEM edutwitter",,"edupr.io/1jb43i8","https://t.co/XTMOd2C9jq","https://edupr.io/1jb43i8","http://pbs.twimg.com/media/ElnvifgXIAEmIhm.jpg","https://t.co/90DsLF0twc","https://twitter.com/Eduporium/status/1322351342598443008/photo/1","photo","http://pbs.twimg.com/media/ElnvifgXIAEmIhm.jpg","https://t.co/90DsLF0twc","https://twitter.com/Eduporium/status/1322351342598443008/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Eduporium/status/1322351342598443008","Eduporium","Newton, MA","Eduporium is a one-stop shop for vetted EdTech and STEM tools. Get custom quotes and exclusive educator pricing on our store. Say hi: info@eduporium.com😀","https://t.co/SkFdDfLua6",FALSE,56130,42446,1184,51949,12970,2012-11-01 18:37:54,FALSE,"https://t.co/SkFdDfLua6","https://www.eduporium.com/",,"https://pbs.twimg.com/profile_banners/919624309/1597178346","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1268122330968076290/HPQKiGjw_normal.jpg"
"x919624309","x1322267543822721025",2020-10-30 20:02:03,"Eduporium","Check out these creative #Halloween #STEAM Projects featuring the @microbit_edu #STEM #edtech #coding https://t.co/Lqi6BjEfTW","Hootsuite Inc.",125,,,,FALSE,FALSE,0,0,,,"Halloween STEAM STEM edtech coding",,"microbit.org/news/2020-10-0…","https://t.co/Lqi6BjEfTW","https://microbit.org/news/2020-10-02/microbit-halloween-house/",,,,,,,,,"x763102211639537665","microbit_edu","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Eduporium/status/1322267543822721025","Eduporium","Newton, MA","Eduporium is a one-stop shop for vetted EdTech and STEM tools. Get custom quotes and exclusive educator pricing on our store. Say hi: info@eduporium.com😀","https://t.co/SkFdDfLua6",FALSE,56130,42446,1184,51949,12970,2012-11-01 18:37:54,FALSE,"https://t.co/SkFdDfLua6","https://www.eduporium.com/",,"https://pbs.twimg.com/profile_banners/919624309/1597178346","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1268122330968076290/HPQKiGjw_normal.jpg"
"x919624309","x1322278395581968386",2020-10-30 20:45:10,"Eduporium","Teach #engineering basics with hands-on experiments that can be carried out at home or at school and actually excite #students using the Intro to #Engineering Kit! #STEM #education BUY: 👇  https://t.co/dM5m09J0ob","Hootsuite Inc.",212,,,,FALSE,FALSE,1,0,,,"engineering students Engineering STEM education",,"eduporium.com/store/catalog/…","https://t.co/dM5m09J0ob","https://www.eduporium.com/store/catalog/product/view/id/70033085",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Eduporium/status/1322278395581968386","Eduporium","Newton, MA","Eduporium is a one-stop shop for vetted EdTech and STEM tools. Get custom quotes and exclusive educator pricing on our store. Say hi: info@eduporium.com😀","https://t.co/SkFdDfLua6",FALSE,56130,42446,1184,51949,12970,2012-11-01 18:37:54,FALSE,"https://t.co/SkFdDfLua6","https://www.eduporium.com/",,"https://pbs.twimg.com/profile_banners/919624309/1597178346","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1268122330968076290/HPQKiGjw_normal.jpg"
"x919624309","x1322256997883019264",2020-10-30 19:20:09,"Eduporium","We award a $500 #edtech #grant to a deserving educator every month. Read about some of the #teachers who have received the prize in the past! 

Link: https://edupr#.io/1n437yF #STEM #education #teachertribe https://t.co/jKCEieX825","Hootsuite Inc.",206,,,,FALSE,FALSE,2,0,,,"edtech grant teachers STEM education teachertribe",,,,,"http://pbs.twimg.com/media/ElmZu4rXUAA4PMB.png","https://t.co/jKCEieX825","https://twitter.com/Eduporium/status/1322256997883019264/photo/1","photo","http://pbs.twimg.com/media/ElmZu4rXUAA4PMB.png","https://t.co/jKCEieX825","https://twitter.com/Eduporium/status/1322256997883019264/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Eduporium/status/1322256997883019264","Eduporium","Newton, MA","Eduporium is a one-stop shop for vetted EdTech and STEM tools. Get custom quotes and exclusive educator pricing on our store. Say hi: info@eduporium.com😀","https://t.co/SkFdDfLua6",FALSE,56130,42446,1184,51949,12970,2012-11-01 18:37:54,FALSE,"https://t.co/SkFdDfLua6","https://www.eduporium.com/",,"https://pbs.twimg.com/profile_banners/919624309/1597178346","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1268122330968076290/HPQKiGjw_normal.jpg"
