"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x302964467","x1322332329059196931",2020-10-31 00:19:29,"MMKhorshidian","#unicorn #teachertwitter thats me! https://t.co/BARrb24983","Twitter Web App",34,,,,FALSE,FALSE,0,0,,,"unicorn teachertwitter",,,,,"http://pbs.twimg.com/media/ElneLYdXUAAB1Tj.jpg","https://t.co/BARrb24983","https://twitter.com/MMKhorshidian/status/1322332329059196931/photo/1","photo","http://pbs.twimg.com/media/ElneLYdXUAAB1Tj.jpg","https://t.co/BARrb24983","https://twitter.com/MMKhorshidian/status/1322332329059196931/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MMKhorshidian/status/1322332329059196931","MikeKhorshidianzadeh","Massachusetts, USA","Husband, father, Trekkie, and high school History teacher. He/him. Stay frosty everyone! #startrek #history #teacherlife #historian","https://t.co/ReWrOfJFtW",FALSE,229,886,1,11285,46128,2011-05-22 02:28:19,FALSE,"https://t.co/ReWrOfJFtW","https://trekkiehistoryteacher.blogspot.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/634831928114479104/RbHb2hZo_normal.jpg"
"x1298967331","x1322331738035671047",2020-10-31 00:17:08,"aamy4ever","#teachertwitter Let's have some 🎃 fun! Donate $1 to BOTH projects below to get your name on the Wheel for one of TWO $10 #DonorsChoose donations. Winners announced before the stroke of midnight on Halloween! 
🌟https://t.co/LxAEMCeoWZ
🌟https://t.co/0R1eCdaU8d https://t.co/2nSh9I7xo4","Twitter for Android",140,,,,FALSE,TRUE,0,9,,,"teachertwitter",,,,,,,,,,,,,"x813874087869218816","KASMOM24","en",,,,,,,,,,,,,,,,"x1322282559087300608","#teachertwitter Let's have some 🎃 fun! Donate $1 to BOTH projects below to get your name on the Wheel for one of TWO $10 #DonorsChoose donations. Winners announced before the stroke of midnight on Halloween! 
🌟https://t.co/LxAEMCeoWZ
🌟https://t.co/0R1eCdaU8d https://t.co/2nSh9I7xo4",2020-10-30 21:01:43,"Twitter Web App",14,9,"x813874087869218816","KASMOM24","Kelly is Quar-an-teaching 🍏",5372,3662,32193,"Wisconsin, USA","Mom of four wonderful kids. Third grade public school teacher. Love helping others. Disney fanatic. #clearthelists #DonorsChoose Amazon Wish List https://t.co/mcE8fqL0ku",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/aamy4ever/status/1322331738035671047","Safa Jaber","Brooklyn NY","Mother of five❤️Education Director; Lead Pre-K Teacher; Independent Distributor with Senegence International (#680120) #clearthelist $sene101","https://t.co/lXH3oSdPjL",FALSE,3846,3864,19,53300,52483,2013-03-25 11:11:51,FALSE,"https://t.co/lXH3oSdPjL","https://www.buymeacoffee.com/Prek",,"https://pbs.twimg.com/profile_banners/1298967331/1579496923","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1292148538420469762/byDnPyRq_normal.jpg"
"x1298967331","x1322276714408542208",2020-10-30 20:38:30,"aamy4ever","#teachertwitter Can you please help a graduate from my HS who wants her own bakery? She can use all the votes she can get to help make her #dreams come true! Thanks in advance! 
https://t.co/Bmjn8hmSvL https://t.co/GIdzzmvZb3","Twitter for Android",139,,,,FALSE,TRUE,0,12,,,"teachertwitter",,,,,,,,,,,,,"x2834417186","cathig8r","en",,,,,,,,,,,,,,,,"x1322259923808505858","#teachertwitter Can you please help a graduate from my HS who wants her own bakery? She can use all the votes she can get to help make her #dreams come true! Thanks in advance! 
https://t.co/Bmjn8hmSvL https://t.co/GIdzzmvZb3",2020-10-30 19:31:46,"Twitter for Android",7,12,"x2834417186","cathig8r","🐊 Edug8r with Empathy 🐊",5623,5856,25760,"Northeast USA ","💚what I do💚doing what I💚leading by #kindness & #example💚
#HS #specialed #ELA 💚$Cathig8r💚https://t.co/8G0K98IZsv💚https://t.co/JZu5Y1Frwo💚",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/aamy4ever/status/1322276714408542208","Safa Jaber","Brooklyn NY","Mother of five❤️Education Director; Lead Pre-K Teacher; Independent Distributor with Senegence International (#680120) #clearthelist $sene101","https://t.co/lXH3oSdPjL",FALSE,3846,3864,19,53300,52483,2013-03-25 11:11:51,FALSE,"https://t.co/lXH3oSdPjL","https://www.buymeacoffee.com/Prek",,"https://pbs.twimg.com/profile_banners/1298967331/1579496923","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1292148538420469762/byDnPyRq_normal.jpg"
"x1158084484887130114","x1322331004296663040",2020-10-31 00:14:13,"CMiller_teacher","@CMiller_teacher @DonorsChoose $47 left to launch this 🚀 
2x match thanks to @2ScreenTeacher #teachertwitter @StanLevenson @StephenAtHome https://t.co/vOtBlnx18z","Twitter for Android",140,,,,FALSE,TRUE,0,1,,,"teachertwitter",,,,,,,,,,,,,"x489892316 x1158084484887130114 x17232815 x1302343458774867969","math_artTeacher CMiller_teacher DonorsChoose 2ScreenTeacher","en",,,,,,,,,,,,,,,,"x1322330905894129671","@CMiller_teacher @DonorsChoose $47 left to launch this 🚀 
2x match thanks to @2ScreenTeacher #teachertwitter @StanLevenson @StephenAtHome https://t.co/vOtBlnx18z",2020-10-31 00:13:50,"Twitter for iPhone",1,1,"x489892316","math_artTeacher","Anna Guida 🎨👩‍🏫",1386,2950,3761,"PA","Mathematics and Art 🖼    Public School Teacher 👩‍🏫of 17 years    👬Mom of two boys ❤️code New #motherofPoodle 🐩 Barkley     Algebra teacher ❤️DESMOS",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CMiller_teacher/status/1322331004296663040","CYNTHIA MILLER, science teacher","San Antonio, TX","I am a science teacher with a beautiful little girl and amazing husband.  I am an outgoing person. #timelessteach","https://t.co/AGPoNLGeqL",FALSE,2705,3141,9,29153,6812,2019-08-04 18:37:12,FALSE,"https://t.co/AGPoNLGeqL","https://www.amazon.com/hz/wishlist/ls/TAR4VESI6I65?ref_=wl_share",,"https://pbs.twimg.com/profile_banners/1158084484887130114/1566436622",,"http://pbs.twimg.com/profile_images/1285236867861028866/fPzK5j3k_normal.jpg"
"x489892316","x1322330905894129671",2020-10-31 00:13:50,"math_artTeacher","@CMiller_teacher @DonorsChoose $47 left to launch this 🚀 
2x match thanks to @2ScreenTeacher #teachertwitter @StanLevenson @StephenAtHome https://t.co/vOtBlnx18z","Twitter for iPhone",130,"x1322315703085682688","x1158084484887130114","CMiller_teacher",FALSE,FALSE,1,1,,,"teachertwitter",,"donorschoose.org/project/two-sc…","https://t.co/vOtBlnx18z","https://www.donorschoose.org/project/two-screens-for-remote-teaching/5263439/?utm_source=dc&utm_medium=directlink&utm_campaign=teacherhub&utm_term=teacher_6978160&rf=directlink-dc-2020-10-teacherhub-teacher_6978160&challengeid=21606976",,,,,,,,,"x1158084484887130114 x17232815 x1302343458774867969 x2251237044 x16303106","CMiller_teacher DonorsChoose 2ScreenTeacher StanLevenson StephenAtHome","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/math_artTeacher/status/1322330905894129671","Anna Guida 🎨👩‍🏫","PA","Mathematics and Art 🖼    Public School Teacher 👩‍🏫of 17 years    👬Mom of two boys ❤️code New #motherofPoodle 🐩 Barkley     Algebra teacher ❤️DESMOS","https://t.co/CMtM5245NC",FALSE,1386,2950,9,3761,5871,2012-02-12 00:59:16,FALSE,"https://t.co/CMtM5245NC","https://www.donorschoose.org/a-guida",,"https://pbs.twimg.com/profile_banners/489892316/1596689485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1286484604233424899/rYBVnuZ1_normal.jpg"
"x489892316","x1321950287146426371",2020-10-29 23:01:23,"math_artTeacher","I can use some help while the 2x match is here for a second monitor 
$76 to fully fund
👀is donor #4 out there with a sprinkle? #teachertwitter @craignewmark @tinormous @StanLevenson Can I have a retweet 🥰ty https://t.co/yVMH6K2tFV","Twitter for iPhone",206,,,,TRUE,FALSE,1,3,,,"teachertwitter",,"twitter.com/math_artteache…","https://t.co/yVMH6K2tFV","https://twitter.com/math_artteacher/status/1321918655060447233",,,,,,,,,"x14368074 x1946219659 x2251237044","craignewmark tinormous StanLevenson","en","x1321918655060447233","👩‍🏫Math &amp; Art Teacher🎨
🚨2x match 7️⃣6️⃣💵to🚀
🥰We switched from hybrid to virtual now next week back to hybrid. This second screen is much needed.
Thanks @2ScreenTeacher 
🥰Anyone have a sprinkle/retweet to share ? @wkamaubell @DonorsChoose @KrocksPage 
https://t.co/vOtBlnx18z",2020-10-29 20:55:42,"Twitter Web App",2,2,"x489892316","math_artTeacher","Anna Guida 🎨👩‍🏫",1386,2950,3761,"PA","Mathematics and Art 🖼    Public School Teacher 👩‍🏫of 17 years    👬Mom of two boys ❤️code New #motherofPoodle 🐩 Barkley     Algebra teacher ❤️DESMOS",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/math_artTeacher/status/1321950287146426371","Anna Guida 🎨👩‍🏫","PA","Mathematics and Art 🖼    Public School Teacher 👩‍🏫of 17 years    👬Mom of two boys ❤️code New #motherofPoodle 🐩 Barkley     Algebra teacher ❤️DESMOS","https://t.co/CMtM5245NC",FALSE,1386,2950,9,3761,5871,2012-02-12 00:59:16,FALSE,"https://t.co/CMtM5245NC","https://www.donorschoose.org/a-guida",,"https://pbs.twimg.com/profile_banners/489892316/1596689485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1286484604233424899/rYBVnuZ1_normal.jpg"
"x489892316","x1322172263622418433",2020-10-30 13:43:27,"math_artTeacher","@math_artTeacher @DonorsChoose Thanks for the chance! 5th grade remote teacher. #teachertwitter #clearthelist https://t.co/24LQCvCzcf https://t.co/gsTySWXlgb","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,"teachertwitter clearthelist",,,,,,,,,,,,,"x1158374512318173185 x489892316 x17232815","tsmithhisler05 math_artTeacher DonorsChoose","en",,,,,,,,,,,,,,,,"x1322172125722120198","@math_artTeacher @DonorsChoose Thanks for the chance! 5th grade remote teacher. #teachertwitter #clearthelist https://t.co/24LQCvCzcf https://t.co/gsTySWXlgb",2020-10-30 13:42:54,"Twitter for iPhone",1,1,"x1158374512318173185","tsmithhisler05","Teresa Smithhisler",1525,1525,6331,"Emporia, KS","wife, mom of 2 boys, teacher of 5th graders, scrapbooker",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/math_artTeacher/status/1322172263622418433","Anna Guida 🎨👩‍🏫","PA","Mathematics and Art 🖼    Public School Teacher 👩‍🏫of 17 years    👬Mom of two boys ❤️code New #motherofPoodle 🐩 Barkley     Algebra teacher ❤️DESMOS","https://t.co/CMtM5245NC",FALSE,1386,2950,9,3761,5871,2012-02-12 00:59:16,FALSE,"https://t.co/CMtM5245NC","https://www.donorschoose.org/a-guida",,"https://pbs.twimg.com/profile_banners/489892316/1596689485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1286484604233424899/rYBVnuZ1_normal.jpg"
"x489892316","x1322278325444923393",2020-10-30 20:44:54,"math_artTeacher","$64 dollars left to launch 🚀
🚨2x match thanks to @2ScreenTeacher 🥰 
Can you help with a retweet or sprinkle ? #teachertwitter #clearthelist @craignewmark @kathyireland @wkamaubell can I have a retweet 🥰#ThankfulTeacher https://t.co/vOtBlnx18z https://t.co/qWAk4OgZT4 https://t.co/5SjxcFoV7Z","Twitter Web App",266,,,,TRUE,FALSE,2,3,,,"teachertwitter clearthelist ThankfulTeacher",,"donorschoose.org/project/two-sc… twitter.com/math_artTeache…","https://t.co/vOtBlnx18z https://t.co/qWAk4OgZT4","https://www.donorschoose.org/project/two-screens-for-remote-teaching/5263439/?utm_source=dc&utm_medium=directlink&utm_campaign=teacherhub&utm_term=teacher_6978160&rf=directlink-dc-2020-10-teacherhub-teacher_6978160&challengeid=21606976 https://twitter.com/math_artTeacher/status/1321918655060447233","http://pbs.twimg.com/tweet_video_thumb/ElmtIE6XEAEN7B0.jpg","https://t.co/5SjxcFoV7Z","https://twitter.com/math_artTeacher/status/1322278325444923393/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/ElmtIE6XEAEN7B0.jpg","https://t.co/5SjxcFoV7Z","https://twitter.com/math_artTeacher/status/1322278325444923393/photo/1",,"x1302343458774867969 x14368074 x16691049 x19119809","2ScreenTeacher craignewmark kathyireland wkamaubell","en","x1321918655060447233","👩‍🏫Math &amp; Art Teacher🎨
🚨2x match 7️⃣6️⃣💵to🚀
🥰We switched from hybrid to virtual now next week back to hybrid. This second screen is much needed.
Thanks @2ScreenTeacher 
🥰Anyone have a sprinkle/retweet to share ? @wkamaubell @DonorsChoose @KrocksPage 
https://t.co/vOtBlnx18z",2020-10-29 20:55:42,"Twitter Web App",2,2,"x489892316","math_artTeacher","Anna Guida 🎨👩‍🏫",1386,2950,3761,"PA","Mathematics and Art 🖼    Public School Teacher 👩‍🏫of 17 years    👬Mom of two boys ❤️code New #motherofPoodle 🐩 Barkley     Algebra teacher ❤️DESMOS",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/math_artTeacher/status/1322278325444923393","Anna Guida 🎨👩‍🏫","PA","Mathematics and Art 🖼    Public School Teacher 👩‍🏫of 17 years    👬Mom of two boys ❤️code New #motherofPoodle 🐩 Barkley     Algebra teacher ❤️DESMOS","https://t.co/CMtM5245NC",FALSE,1386,2950,9,3761,5871,2012-02-12 00:59:16,FALSE,"https://t.co/CMtM5245NC","https://www.donorschoose.org/a-guida",,"https://pbs.twimg.com/profile_banners/489892316/1596689485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1286484604233424899/rYBVnuZ1_normal.jpg"
"x919624309","x1322329956903538690",2020-10-31 00:10:04,"Eduporium","Rising Resources | Floreo -- Learn how this immersive app can help #SpecialEducation #students prepare for social situations through #VR! #ARVRinEDU #SpedChat https://t.co/MDfBUCaCwe #edtech #teachertwitter https://t.co/NlgMIb5Z5v","Hootsuite Inc.",206,,,,FALSE,FALSE,0,0,,,"SpecialEducation students VR ARVRinEDU SpedChat edtech teachertwitter",,"edupr.io/1bz45jF","https://t.co/MDfBUCaCwe","https://edupr.io/1bz45jF","http://pbs.twimg.com/media/ElncFrbWoAAFi1B.jpg","https://t.co/NlgMIb5Z5v","https://twitter.com/Eduporium/status/1322329956903538690/photo/1","photo","http://pbs.twimg.com/media/ElncFrbWoAAFi1B.jpg","https://t.co/NlgMIb5Z5v","https://twitter.com/Eduporium/status/1322329956903538690/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Eduporium/status/1322329956903538690","Eduporium","Newton, MA","Eduporium is a one-stop shop for vetted EdTech and STEM tools. Get custom quotes and exclusive educator pricing on our store. Say hi: info@eduporium.com😀","https://t.co/SkFdDfLua6",FALSE,56132,42440,1182,51947,12970,2012-11-01 18:37:54,FALSE,"https://t.co/SkFdDfLua6","https://www.eduporium.com/",,"https://pbs.twimg.com/profile_banners/919624309/1597178346","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1268122330968076290/HPQKiGjw_normal.jpg"
"x902180336230158341","x1322327071255908355",2020-10-30 23:58:36,"MsENicoletti","STEM skills are no longer just nice to have. Fortunately, this e-book spells out how to level up. https://t.co/I1KhFpDGT6 #teachertwitter #STEM #Sponsored by @wgu","Twitter for Android",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x14369901","WeAreTeachers","en",,,,,,,,,,,,,,,,"x1322146300545110016","STEM skills are no longer just nice to have. Fortunately, this e-book spells out how to level up. https://t.co/I1KhFpDGT6 #teachertwitter #STEM #Sponsored by @wgu",2020-10-30 12:00:16,"Sprout Social",12,3,"x14369901","WeAreTeachers","WeAreTeachers",553918,12779,37429,"Austin, TX","We offer ideas, inspiration, and information for your best days—and double that for your hard ones. Supporting kids means supporting educators, always.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MsENicoletti/status/1322327071255908355","Euginia Nicoletti","","",,FALSE,107,92,1,469,1151,2017-08-28 14:45:28,FALSE,,,,"https://pbs.twimg.com/profile_banners/902180336230158341/1503966885",,"http://pbs.twimg.com/profile_images/902320862187192320/JHZRVwRf_normal.jpg"
